"පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","3","13","0","0","0","0","2"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","4","15","0","0","0","1","2"
"","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","",""
"","","","……………………………………………………….","","","",""
"","","","K.G.Mahendra Jagath","","","",""
"","","","Assistant Director / Duty Officer","","","",""
"","","","For Director General","","","",""
