"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","2","8","0","0","0","0","2","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","2","8","0","0","0","0","2","0"
"","13570","43660","2","1","0","4","107","0"
"","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","",""
"","","","ආපදො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","",""
"","","","විදුත් තැපැේ / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","",""
"","","","නවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","",""
"","","","……………………………………………………….","","","","",""
"","","","Roshan Weerawardana","","","","",""
"","","","Police Coordinator / Duty Officer","","","","",""
"","","","For Director General","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","",""
