"","1
,uj;jpdGhp","Pelmadulla","High Wind","2023.09.14","1","6","","","","","1","","","","","","","",""
"","Rathnapura","Kalawana","Heavy Rain","2023.09.14","1","3","","","","","1","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","3","11","0","1","0","0","3","","0","0","","0","0","0",""
"","","","Fire in a House","2023.09.14","1","3","","","","","1","","","","","","","",""
"සබරගමුෙ පලාත","","Kegalle","","","","","","","","","","","","","","","","",""
"","","","Cutting Faliure","2023.09.14/15","2","7","","","","","2","","","","","","","",""
"rg;ufKt","කෑගල්ල","","","","","","","","","","","","","","","","","",""
"","","Rambukkana","Tree Fallen","2023.09.11","1","4","","","","","1","","","","","","","",""
"Sabaragamuwa","Nffhiy      
2","","","","","","","","","","","","","","","","","",""
"","","Dehiowita","Tree Fallen","2023.09.14","1","6","","","","","1","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","","","",""
"","","Warakapola","High Wind","2023.09.11/12","3","10","","","","","3","","","","","","","",""
"","","Mawanella","Tree Fallen","2023.09.15","1","4","","","","","1","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","9","34","0","0","0","0","9","","0","0","","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","12","45","0","1","0","0","12","","0","0","","0","0","0",""
"","","Kirinda","","2023.09.12","3","12","","","","","3","","","","","","","",""
"","","Dewinuwara","","2023.09.11","5","17","","","","","5","","","","","","","",""
"","","Hakmana","","2023.09.12","10","41","","","","","10","","","","","","","",""
"","මාතර       khj;jiw","","Heavy Rain / High","","","","","","","","","","","","","","","",""
"","3","Akuressa","","2023.09.14","9","48","","","","","9","","","","","","","",""
"","Matara","","Wind","","","","","","","","","","","","","","","",""
"දකුනු පලාත njd;","","Dikwella","","2023.09.14","5","21","","","","","5","","","","","","","",""
"khfhzk; Southern","","Matara","","2023.09.14","5","20","","","","","5","","","","","","","",""
"","","Mulatiyana","","2023.09.13","1","4","","","","","1","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","38","163","0","0","0","0","38","","0","0","","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","38","163","0","0","0","0","38","","0","0","","0","0","0",""
"","කළුතර  fSj;Jiw","","","","","","","","","","","","","","","","","",""
"","4","Kalutara","High Wind","2023.09.14","1","3","","","","","1","","","","","","","",""
"Western Nky;","Kalutara","","","","","","","","","","","","","","","","","",""
"khfhzk;බස්නාහිර","","","","","","","","","","","","","","","","","","",""
"පලාත","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","1","3","0","0","0","0","1","","0","0","","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","1","3","0","0","0","0","1","","0","0","","0","0","0",""
"","","Alauwa","Tree Fallen","2023.09.13","1","3","","","","","1","","","","","","","",""
"","කුරුනෑගල","","","","","","","","","","","","","","","","","",""
"ෙයඹ පලාත","5
FUdhfy;","Mawathagama","High Wind","2023.09.14","1","4","","","","","1","","","","","","","",""
"tlNky;","Kurunegala","","","","","","","","","","","","","","","","","",""
"","","Kuliyapitiya East","High Wind","2023.09.15","1","3","","","","","1","","","","","","","",""
"khfhzk; North","","","","","","","","","","","","","","","","","","",""
"Western","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","3","10","0","0","0","0","3","","0","0","","0","0","0",""
