"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"24.05.24/0530","15.0/88.4","40-50 gusting to 60","Depression"
"24.05.24/1730","15.9/89.2","50-60 gusting to 70","Deep Depression"
"25.05.24/0530","17.1/89.5","60-70 gusting to 80","Cyclonic Storm"
"25.05.24/1730","18.0/89.7","80-90 gusting to 100","Cyclonic Storm"
"26.05.24/0530","19.3/89.8","100-110 gusting to 120","Severe cyclonic Storm"
"26.05.24/1730","20.9/89.6","110-120 gusting to 130","Severe cyclonic Storm"
"27.05.24/0530","21.9/89.4","110-120 gusting to 130","Severe cyclonic Storm"
"27.05.24/1730","23.1/89.5","70-80 gusting to 90","Cyclonic Storm"
"28.05.24/0530","23.9/89.8","40-50 gusting to 60","Depression"
