"","තත්ත්ල ලාර්තාල  - ශ්‍රී ඼ංකාල / epiyik mwpf;if - ,yq;if/  Situation Report- SriLanka","","","","","","","","","","","","","",""
"දිනය /jpfjp / Date : 01st August 2019 at 0900hrs","","","","","","","","","","","","","","",""
"","ලේකම් - රාජ්‍ය පරිපා඼න සහ ආපදා කළමනාකරණ අමාතයාං඾ය / சச஬யாரர், சபாது நிர்வாக ஫ற்றும் அனர்த்த முகாம஫த்துவ அம஫ச்சு / Secretary, Ministry of Public Administration & Disaster Management","","","","","","","","","","","","","",""
"රාජ්‍ය පරිපා඼න සහ ආපදා කළමනාකරණ අමාතයාං඾ය ගරු අමාතයතුමාලේ පුද්ගලික ලේකම් /சகௌ஭வ பி஭மைக்கு தனி஬ார் சச஬யாரர் சபாது நிர்வாக ஫ற்றும் அனர்த்த முகாம஫த்துவ அம஫ச்சர் / Private Secretary to the Hon. Minister of Public Administration & Disaster Management","","","","","","","","","","","","","","",""
"","","","","","","","","","නිලාස හානි","","","","","",""
"","","","බ඼පෑමට ඼ක්වු","","","","","","Nrjkile;j","","","","ආරක්ෂිත ස්ථාන ghJfhg;ghd","",""
"","පරිපා඼න ප්‍රලද්඾ය நிர்வாகப் பிரிவு","","","","","","","","","","ලලනත් හානි பிம பாதிப்புகள்","","","",""
"","Administrative purvie","","ghjpf;fg;gl;l Affected","","","","","අතුරුදහ","tPLfs; Houses","","Other Damages","","miktplk; Safe Location","",""
"","","","","","","තුලා඼වු","","","","","","","","",""
"","","","","","","","","න්වූ","Damaged","","","","","",""
"","","","","","","පුද්ග඼යි","","","","","","","","",""
"","","","","","","","","පුද්ග඼යි","","","","","","",""
"","","ආරම්භක දිනය","","","","න්","","","","","","","","",""
"","","","","","","","","න්","","","","","","",""
"පළාත","ආපදාල","mdu;j;jk;","","","මිය යෑම්","fhaki","","","","","කුඩා හා මධය 
ඉතා ලැදගත්","","","","ලලනත් කරුණු"
"","","","","","","","","","","","","ආරක්ෂිත","","",""
"","","","","","","","","fhzh","","","","","","",""
"khfhzk;","mdHj;jk; 
#","Muk;gpj;j jpfjp","","","kuzq;fs;","le;NjhH","","","","අර්ධ","පරිමාණ ලයාපාරික 
යටිත඼ පහසුකම්","","","","NtW Fwpg;Gf;fs;"
"","","","","","","","","ky;Ngh","","","","ස්ථාන","","",""
"","","","","","","","","","","","","","","පවුේ",""
"Province","Disaster","Date of","","","Deaths","","","","පූර්ණ","හානි","ල඼ට වූ හානි 
ස්ථාන சிமி஬,","සංඛ්‍යාල","","","Remarks"
"","ප්‍රා.ලේ. ලකො                
දිස්ත්‍රික්කය","","පවුේ සංඛ්‍යාල","පුද්ග඼යින්","","","","NdhH","","","","","","පුද්ග඼යින් 
සංඛ්‍යාල",""
"","","commenced","","","","Injured","","","හානි","gFjpa","நடுத்த஭, 
mbg;gilf;","vz;zpf;i","","",""
"","gpuNjr nra.gp","","FLk;gq;fs;","egHfs;","","","","Missin","","","","","","egHfs; 
FLk;gq;",""
"","஫ாவட்டம்","","","","","","","","","sT","நிறுவனங்கரி
fl;likg;Gf;fs;","f   No.","","",""
"","","","","","","","","","KOik","","","","","",""
"","District
DS Division","","Families","People","","","","g","","","ன் சசதங்கள்;","","","fs; 
Persons",""
"","","","","","","People","","","Fully","Partiall","Damages to","of Safety","","",""
"","","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","People","","","","","","Families",""
"","","","","","","","","","","y","critical","Location","","",""
"","","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","","Infrastructure
Damages","s","","",""
"","මු඼තිව්","","","","","","","","","","","","","",""
"","","2019.07.28","1","6","","","","","","1","","","","",""
"","1
Puthukudiyiruppu
Fire
Ky;iyj;jPT","","","","","","","","","","","","","",""
"","Mulaitivu","2019.07.29","1","5","","","","","1","","","","","",""
"උතුරු ප඼෈","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","2","11","0","","0","0","1","1","0
0","","0","0","0"
"tl khfhzk;","","","","","","","","","","","","","","",""
"Northen","ලව්නිය෈ල/tTdpah/","","","","","","","","","","","","","",""
"","2
 Vavuniya
Fire","2019.07.30","1","6","","","","","1","","","","","",""
"","Vavuniya","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","1","6","0","","0","0","1","0","0
0","","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","3","17","0","","0","0","2","1","0
0","","0","0","0"
"","ත්‍රීකුණ෈ම඼ය","","","","","","","","","","","","","",""
"","3
Seruwela
High Wind 
jp.kiy","2019.07.20","1","3","","","","","","1","","","","",""
"","Trincomalee","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","1","3","0","","0","0","0","1","0
0","","0","0","0"
"","Damana","2019.07.24","1","5","","","","","","1","","","","",""
"න෉තෙනහිර ප඼෈","","","","","","","","","","","","","","",""
"fpof;F","High Wind
Uhana","2019.07.26","3","12","","","","","","3","","","","",""
"","අම්ප෈ර/mk;ghiw/A","","","","","","","","","","","","","",""
"Eastern","4
Pottuvil","2019.07.27","","","","","","","","","","","","",""
"","","","1","3","","","","","","1","","","","",""
"","mpara","","","","","","","","","","","","","",""
"","","High wind / Tree","","","","","","","","","","","","",""
"","Uhana","2019.07.28","1","6","","","","","","1","","","","",""
"","Fallen","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","6","26","0","","0","0","0","6","0
0","","0","0","0"
"","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","7","29","0","","0","0","0","7","0
0","","0","0","0"
"","හම්බන්ත ොට","","","","","","","","","","","","","",""
"","5
Ambalantota
High Wind
`k;ghe;Njhl;il","2019.07.28","1","5","","","","","","","1","","","",""
"දකුනු ප඼෈","","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","1","5","0","","0","0","0","0","1
0","","0","0","0"
