"","Weather Forecast for Main Cities","","","","6-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","25","90","50","Showers or thundershowers are likely after 4.00p.m"
"Batticaloa","33","26","90","70","Mainly fair"
"Colombo","33","26","90","60","Showers or thundershowers after 2.00p.m"
"Galle","32","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","26","90","55","Mainly fair"
"Kandy","34","23","90","50","Mainly fair"
"Nuwara-Eliya","24","13","95","60","Mainly fair"
"Ratnapura","35","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","35","25","90","60","Mainly fair"
"Mannar","35","28","85","65","Mainly fair"
