"","Weather Forecast for Main Cities","","","Date :","2024-09-16"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","50","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","36","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","85","70","Showers or thundershowers at times"
"Galle","30","27","90","80","Showers or thundershowers at times"
"Jaffna","33","26","85","65","Mainly fair"
"Kandy","28","21","95","65","Several spells of showers"
"Nuwara-Eliya","19","15","95","75","Several spells of showers"
"Ratnapura","33","24","95","70","Showers or thundershowers at times"
"Trincomalee","36","26","80","40","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","90","80","A few showers"
