"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"01.12.23/2330","10.4/84.7","40-50 gusting to 60","Depression"
"02.12.23/1130","11.2/83.3","50-60 gusting to 70","Deep Depression"
"02.12.23/2330","11.9/82.3","55-65 gusting to 75","Cyclonic Storm"
"03.12.23/1130","12.5/81.5","60-70 gusting to 80","Cyclonic Storm"
"03.12.23/2330","13.1/81.0","75-85 gusting to 95","Cyclonic Storm"
"04.12.23/1130","13.9/80.5","75-85 gusting to 95","Cyclonic Storm"
"04.12.23/2330","14.9/80.3","80-90 gusting to 100","Cyclonic Storm"
"05.12.23/1130","15.8/80.5","60-70 gusting to 80","Cyclonic Storm"
"05.12.23/2330","16.7/81.2","55-65 gusting to 75","Cyclonic Storm"
