"khfhzk;/ Central","","Medadumbara","","2020.07.13","1","4","","","","1","","","","",""
"","","Udapalatha","Heavy Rain","2020.07.14","1","1","","","","1","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","7","26","0","0","0","0
7","0","0","0
0","0",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","7","26","0","0","0","0
7","0","0","0
0","0",""
"","කළුතර/fSj;Jiw/","","","","","","","","","","","","","",""
"Western/ Nky;","3","Beruwala","Drowning","2020.07.13","1","3","2","1","","","","","","",""
"","Kalutara","","","","","","","","","","","","","",""
"khfhzk;බස්නොහිර","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","1","3","2","1","0","0
0","0","0","0
0","0",""
"පලොත","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","1","3","2","1","0","0
0","0","0","0
0","0",""
"","","Damana","","2020.07.13","1","2","","","","1","","","","",""
"","අම්පොර/mk;ghiw/A","","","","","","","","","","","","","",""
"නැ්ෙනහිර","4","Lahugala","High wind","2020.07.13","1","4","","","","1","","","","",""
"","mpara","","","","","","","","","","","","","",""
"පලොත/fpof;F/Easte","","Mahaoya","","2020.07.13","1","2","","","","1","","","","",""
"rn/","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","3","8","0","0","0","0
3","0","0","0
0","0",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","3","8","0","0","0","0
3","0","0","0
0","0",""
"","හම්බන්තොට/`k;g","","","","","","","","","","","","","",""
"දකුනු පලොත/njd;","5
he;Njhl;il","Beliatta","Fire","2020.07.14","1","3","","","","","1","","","",""
"khfhzk;/","Hambantota","","","","","","","","","","","","","",""
"Southern","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","1","3","0","0","0","0
0","1","0","0
0","0",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","","1","3","0","0","0","0
0","1","0","0
0","0",""
"","යොපනය/aho;g;ghz","","","","","","","","","","","","","",""
"උතුරු පලොත/tl","6","Thelippalai","Explotion","2020.07.13","3","3","","3","","","","","","",""
"","k;/ Jaffna","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","3","3","0","3","0","0
0","0","0","0
0","0",""
"Northen/ ;","","","","","","","","","","","","","","",""
