"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","3","12","0","1","0","0","3","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","3","12","0","1","0","0","3","0"
"","10","40","0","1","3","0","4","0"
"","","","රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","",""
"","","","ආපදො කළමනොකරණ මධයස්ථොනය  /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","",""
"","","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","",""
"","","","……………………………………………………….","","","","",""
"","","","Chathura Liyanarachchi","","","","",""
"","","","Assistant Director / Duty Officer","","","","",""
"","","","For Director General","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","",""
