"","Weather Forecast for Main Cities","","","","14-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","40","Mainly fair"
"Batticaloa","34","24","90","70","Mainly fair"
"Colombo","32","26","85","65","Mainly fair"
"Galle","31","25","90","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","34","24","95","60","Mainly fair"
"Kandy","33","20","90","45","Mainly fair"
"Nuwara-Eliya","23","13","95","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","24","95","60","Mainly fair"
"Mannar","34","25","95","50","Mainly fair"
