"","","","","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","","",""
"","","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","","බලපෑමට ලක්වු","","","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","",""
"","","","Administrative purview","","","","ghjpf;fg;gl;l    Affected","","","","","","tPLfs; Houses","","Other Damages","","","miktplk; Safe Location","","",""
"","","","","","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","","","","","",""
"","","","","","ආරම්භක දිනය","","","","","","පුද්ගලයින්","න්වූ","","","","","","","","",""
"","","","","","mdu;j;jk;","","","","","මිය යෑම්","","පුද්ගලයින්","","","","","","","","",""
"","","","","ආපදාව","","","","","","","","","","","කුඩා හා මධය","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත","","","",""
"","#","","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","","","","","s;","e;NjhH","NghNdhH","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ","","",""
"Province","","","","","","","","","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","","","","Remarks"
"","","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","","පුද්ගලයින්","","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","","පුද්ගලයින්",""
"","","","","","","","","","","","","","හානි","","","","","","","",""
"","","மாவட்டம்","","","commenced","","","","","","Injured","Missing","","gFjpasT","நிறுவனங் களி","fl;likg;Gf;fs;","vz;zpf;i","","","egHfs;",""
"","","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","","egHfs;","","","","","","","","","","FLk;gq;f","","",""
"","","","","","","","","","","","People","People","KOik","","ன
்  சேதங் கள்","","","","","",""
"","","","","","","Families","","People","","","","","","Partially","","Damages to","f   No.","s;","","Persons",""
"","","District","Division","","","","","","","","","","Fully","","Small, Medium,","","","","","",""
"","","","","","","","","","","","","","","","","critical","of Safety","Families","","",""
"","","","","","","","","","","","","","","","Enterprises","Infrastructure","Locations","","","",""
"","","","","","","","","","","","","","","","Damages","","","","","",""
"","","හම්බනවතාට","Thissamaharamaya","High Wind","2024.12.30","","1","","3","","","","","1","","","","","","",""
"","1","`k;ghe;Njhl;il","","","","","","","","","","","","","","","","","","",""
"දකුණු පලාත","","","","","","","","","","","","","","","","","","","","",""
"","","Hambantota","Hambantota","Heavy Rain/High Wind","2024.12.31","","1","","5","","","","","1","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","","2","","8","0","0","0","0","2","0","0","0","","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","","2","","8","0","0","0","0","2","0","0","0","","0","0",""
"","","කෑගල්ල","Aranayaka","Cutting Failure","2025.01.01","","1","","4","","","","","1","","","","","","",""
"","2","","","","","","","","","","","","","","","","","","","",""
"","","Nffhiy  Kegalle","","","","","","","","","","","","","","","","","","",""
"","","","Rabukkana","Tree Falling","2025.01.05","","1","","4","","","","","1","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","","2","","8","0","0","0","0","2","0","0","0","","0","0",""
"","","","Godakawela","","2025.01.01","","1","","5","","","","","1","","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","","","","","","",""
"","","","","High Wind","","","","","","","","","","","","","","","","",""
"rg;ufKt","","රත්නපුර","Balangoda","","2025.01.04/06","","4","","9","","","","","4","","","","","","",""
"Sabaragamuwa","3",",uj;jpdGhp","","","","","","","","","","","","","","","","","","",""
"","","Rathnapura","Kolonna","Cutting Failure","2025.01.05","","1","","6","","","","","1","","","","","","",""
"","","","Pelmadulla","Tree Falling","2025.01.05","","3","","15","","","","","3","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","","9","","35","0","0","0","0","9","0","0","0","","0","0",""
