"","","","","","","","නිවාස්ත්‍ හානි","","","","","","","","",""
"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","බලපෑමට ලක්වු","","","","","","Nrjkile;j","","","ලවනත් හානි பிற பாதிப்புகள்","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","",""
"Administrative purview","","ghjpf;fg;gl;l    Affected","","","","","tPLfs; Houses","","","Other Damages","","","miktplk; Safe Location","","",""
"","","","","","තුවාලවු","අතුරුදහ","","","","","","","","","",""
"","","","","","","","Damaged","","","","","","","","",""
"","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","","","",""
"","mdu;j;jk;","","මිය යෑම්","","","පුද්ගලයින්","","","කුඩා හා මධය","","","","","","",""
"ආපදාව","","","","","","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","kuzq;f","","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","ඉතා වැදගත් යටිතල","ආරක්ිත","","","",""
"mdHj;jk      
#","Muk;gpj;j jpfjp","","","","","","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","s;","","e;NjhH","NghNdhH","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","","පවුේ","",""
"Province","","","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","","","","","Remarks"
"Disaster
ප්‍රා.ලේ. ලකා","Date of 
පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","","අර්ධ හානි","நடுத்தர,","","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"දිස්ත්‍රික්කය","","","","","","","හානි","","நிறுவனங்களின்","","","","","","",""
"","commenced","","","","Injured","Missing","","gFjpasT","","","fl;likg;Gf;fs;","vz;zpf;i","","","egHfs;",""
"gpuNjr nra.gp     DS","FLk;gq;fs;","egHfs;","","","","","","","","","","","","FLk;gq;f","",""
"மாவட்டம் District","","","","","People","People","KOik","","சேதங்கள்; Small,","","","","","","",""
"","Families","People","","","","","","Partially","","","Damages to","f   No.","","s;","Persons",""
"Division","","","","","","","Fully","","","","","","","","",""
"","","","","","","","","","Medium,","","critical","of Safety","","Families","",""
"","","","","","","","","","Enterprises","","Infrastructure","Locations","","","",""
"","","","","","","","","","Damages","","","","","","",""
"Padaviya
Heavy Rain","2024.12.29
4","6","","","","","","4","","","","","","","",""
"අනුරාධ්‍පුර","","","","","","","","","","","","","","","",""
"Ipalogama
High Wind","2024.12.28
1","3","","","","","","1","","","","","","","",""
"උතුරුමැද පලාත   
1
m.Guk;","","","","","","","","","","","","","","","",""
"tlkj;jpa 
Heavy Rain/High Wind
Kekirawa
Anuradhapura","2025.01.01
5","17","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"Heavy Rain/High Wind
Palugaswewa","2025.01.01
1","1","","","","","","1","","","","","","","",""
"North Central","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","11","27","","0","0","0","0","6","","0","0","","0","","0","0"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","11","27","","0","0","0","0","6","","0","0","","0","","0","0"
"රත්නපුර","","","","","","","","","","","","","","","",""
"Kalawana
Tree Fallen
uj;jpdGhp  
සබරගමුෙ පලාත","2025.01.01
1","4","","","","","","1","","","","","","","",""
"Rathnapura","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","1","4","","0","0","0","0","1","","0","0","","0","","0","0"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","1","4","","0","0","0","0","1","","0","0","","0","","0","0"
"මාතර       khj;jiw","","","","","","","","","","","","","","","",""
"Matara
Tree Fallen","2024.01.01","12","","1","11","","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","",""
"Matara","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"Southern
දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","0","12","","1","11","0","0","0","","0","0","","0","","0","0"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","0","12","","1","11","0","0","0","","0","0","","0","","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","12","43","","1","11","0","0","7","","0","0","","0","","0","0"
