"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"03.12.23/1130","11.9/82.1","65-75 kmph gusting to 85 kmph","Cyclonic Storm"
"03.12.23/1730","12.4/81.6","70-80 kmph gusting to 90 kmph","Cyclonic Storm"
"04.12.23/0530","13.5/81.0","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"04.12.23/1730","14.5/80.7","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"05.12.23/0530","15.5/80.7","80-90 kmph gusting to 100 kmph","Cyclonic Storm"
"05.12.23/1730","16.5/81.2","60-70 kmph gusting to 85 kmph","Cyclonic Storm"
"06.12.23/0530","17.5/82.3","40-50 kmph gusting to 60 kmph","Depression"
"06.12.23/1730","18.5/83.3","20-30 kmph gusting to 40 kmph","Low-Pressure Area"
