"2","6","0
0
0
0
2","0","0","0","0","0"
"2","6","0
0
0
0
2","0","0","0","0","0"
"54332","228477","0
0
0
9
4","0","0","3","15","75"
"","","රොජකොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","",""
"","","","ආපදො කළමනොකරණ මධයස්ථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","",""
"","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","………………………………………………………."
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","H.D.G.Priyantha"
"","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","Assistant Director / Duty Officer"
"","","","","","","","For Director General"
