"","","Cutting Failure/High","","","","","","","","","","","",""
"","Agalawatta","","2024.10.10-14","21","79","","","","","7","","","",""
"","කළුතර","Wind/Lightning","","","","","","","","","","","",""
"1","fSj;Jiw","","","","","","","","","","","","",""
"","Walallavita","Flood","2024.10.10 -11","45","167","","","","","4","","","",""
"","Kalutara","","","","","","","","","","","","",""
"","Madurawala","Heavy Rain/High Wind","2024.10.10 -14","30","113","","","","","4","2","","",""
"","Dodangoda","Flood","2024.10.12","24","92","","","","","","","","",""
"","Kalutara","High Wind","2024.10.07-11","270","1027","","","","","1","","","",""
"","Bulathsinhala","Flood","2024.10.12","9","35","","","","","4","","","",""
"","Ingiriya","Flood","2024.10.13-14","5","17","","","","","1","","","",""
"","Panadura","Heavy Rain","2024.10.11-14","86","342","","","","","1","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1380","5233","","1","0","0","0
46","2","0","0","0
0"
"","Dompe","Flood","","323","1059","","","","","5","19","","2","240
750"
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","",""
"","Attanagalla","Flood","2024.10.11","","","","","","","11","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","",""
"Western","Minuwangoda","Flood","","124","518","","","","","4","","","",""
"","Merigama","High Wind","2024.10.10","","","","","","","5","","","",""
"","Biyagama","High Wind","2024.10.08","728","3283","","","","","11","","","3","26
112"
"","ගම්පහ","","","","","","","","","","","","",""
"","Divulapitiya","Flood","","","","","","","","3","","","",""
"2","fk;g`h","","","","","","","","","","","","",""
"","Gampaha
Wattala","Flood","","6742","27537","","","","","","","","4","32
132"
"","Mahara","","","111","416","","","","","4","","","",""
"","Kelaniya","","2024.10.11","1988","8857","","","","","","","","2","6
17"
"","Katana","Flood","","1613","5966","","","","","","","","1","11
45"
"","Ja-Ela","","","2924","11300","","","","","4","","","3","28
90"
"","Gampaha","","","495","1966","","","","","4","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15048","60902","","0","0","0","0
51","19","0","15","343
1146"
"","Kesbewa","Tree Fallen","","1","4","","","","","1","","","",""
"","Seethawaka","Flood","","655","2435","","","","","3","","","4","201
739"
"","","","2024.10.11","","","","","","","","","","",""
"","Kolonnawa","Flood","","9933","38206","","1","","","1
1","","","11","186
772"
"","කකාළඹ","","","","","","","","","","","","",""
"3","nfhOk;G     
Thimbirigasyaya","Flood","","579","2087","","","","","1","","","1","13
53"
"","Colombo","","","","","","","","","","","","",""
"","Kaduwela","Flood","2024.10.10","3338","11938","","1","","","1","","","22","420
1676"
"","Jayawardhanapura","Flood","2024.10.11","601","2625","","","","","","","","3","506
2269"
"","Colombo","Flood","2024.10.12","834","2938","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15941","60233","","2","0","0","1
7","0","0","41","1326
5509"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","32369","126368","","3","0","0","1
104","21","0","56","1669
6655"
