"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","188","738","0","0","0","0","23","1","0","3","33","140"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","188","738","0","0","0","0","23","1","0","3","33","140"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","1752","6723","1","0","0","21","763","5","0","11","225","809"
"","","","ආපදො කළමනොකරණ මධ්‍යසරථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්සර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","Hiran Thilakarathne","","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
