"","Flood","2018.10.07
25","94","","","","","","","","","","",""
"","Nachchaduwa","","","","","","","","","","","","",""
"උතුරුමැද","","1810","5702","","","","","","","","","","",""
"","අනුරාධ්‍පුර","","","","","","","","","","","","",""
"පලාත/tlkj;","Ma.Nu.Pa
m.Guk 
16","821","2942","","","","","","","","","","",""
"jpa","","","","","","","","","","","","","",""
"","Anuradhapura","","","","","","","","","","","","",""
"","Thalawa
Drought","95
2018.09.20","401","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","",""
"North","Padaviya","830","3130","","","","","","","","","","",""
"Central/","","","","","","","","","","","","","",""
"","Kabithigollewa","3001","9380","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","6582","21649","0","0","0","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","6582","21649","0","0","0","0","0","0","0","0","0","0",""
"","මන්නාරම/kd;dhH/","","","","","","","","","","","","",""
"උතුරු","17
Flood
Madu","2018.10.07
56","184","","","","","","","","1","56","","184 Safe Location -"
"","Mannar","","","","","","","","","","","","","Divisional Secatariat"
"පලාත/tl","","","","","","","","","","","","","",""
"khfhzk;/","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","56","184","0","0","0","0","0","0","0","1","56","184",""
"Northen/","","","","","","","","","","","","","",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","56","184","0","0","0","0","0","0","0","1","56","184",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","12448","44107","7","13","0","29","2180","505","11","5","81","296",""
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
