"","Weather Forecast for Main Cities","","","","2024-07-30"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","85","55","Mainly fair"
"Batticaloa","36","28","75","45","Mainly fair"
"Colombo","31","26","95","75","Showers at times"
"Galle","29","26","95","80","Showers at times"
"Jaffna","32","28","75","65","Mainly fair"
"Kandy","28","22","95","65","Showers at times"
"Nuwara-Eliya","17","14","95","80","Showers at times"
"Ratnapura","31","23","95","65","Showers at times"
"Trincomalee","35","27","90","50","Mainly fair"
"Mannar","31","28","85","75","Mainly fair"
