"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","1160","4486","0","0","0","21","669","0","0","1","4","21"
"පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","1160","4486","0","0","0","21","669","0","0","1","4","21"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","1613","6160","0","0","0","24","781","0","0","9","214","732"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","වෙබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","K.G.M.Jagath","","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
