"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","3045","12525","0","0","0","0","244","0","0","16","272","1044"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","5523","21386","0","0","0","1","252","0","0","25","415","1511"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","කවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","…..............................................","","","","","","","","",""
"","","","K.G.Mahendra Jagath","","","","","","","","",""
"","","","Deputy Directo/Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
