"දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","72","302","0","0","0","0","72","0","0","0","0",""
"පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","72","302","0","0","0","0","72","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","5690","20957","2","4","0","31","1296","13","2","13","312","1056"
"","","","ආපදො  ළමනො රණ මධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","කවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","",".........…………………….","","","","","","","","",""
"","","","Hiran Thilakarathne","","","","","","","","",""
"","","","Deputy Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
