"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","1","5","0","1","0","0","1","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","3","16","0","1","0","0","3","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","621","2275","0","8","0","3","251","11","4","2","82","283"
"","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","ගවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","….......................................................","","","","","","","","",""
"","","","T.W.K.I.Pushpakumara","","","","","","","","",""
"","","","Asistant Director / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
