"","","","","","commenced","","","","Injured","Missing","","","gFjpasT","நிறுவனங்களின்","fl;likg;Gf;fs;","vz;zpf;i","","egHfs;"
"","","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","","FLk;gq;f",""
"","","மாவட்டம் District","","","","","","","People","People","KOik","","","சேதங்கள்; Small,","","","",""
"","","","","","","Families","People","","","","","","Partially","","Damages to","f   No.","s;","Persons"
"","","","Division","","","","","","","","Fully","","","","","","",""
"","","","","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","","","","Damages","","","",""
"","","","Nuwaraeliya","","","35","171","","","","","","4","","","1","1","7"
"","","","","Landslide Risk/","","","","","","","","","","","","","",""
"","","","Hanguranketha","","","78","291","","","","","","75","","","","",""
"","","","","Cutting Failiture/Falsh","2025.01.29","","","","","","","","","","","","",""
"","","නුෙරඑලිය","","","","","","","","","","","","","","","",""
"","","","Kothmale","Flood","","1","3","","","","","","1","","","","",""
"","1","Etnuypah","","","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","","58","238","","","","","","4","","","1","10","30"
"kj;jpa khfhzk;","","","Walapane","","","","","","","","","","","","","","",""
"Central","","","","Heavy Rain","2025.02.03","8","28","","","","","","8","","","","",""
"","","","Nildandahinna","Heavy Rain","2025.02.03","61","211","","","","","","31","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","241","942","0","0","0","","0","123","0","0","2","11","37"
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","241","942","0","0","0","","0","123","0","0","2","11","37"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","241","942","0","0","0","","0","123","0","0","2","11","37"
