"Vengalacheddikulam","2020.10.14","4","7","","","","","4","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","18","46","0","0","0","0","18","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","18","46","0","0","0","0","18","0","0","0"
"","","173","657","7","2","0","12","130","3","0","3"
"","","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","",""
"","","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","","","",""
"","","","","ආපදො කළ නොකරණ  ධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","",""
"","","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","",""
"","","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","",""
"","","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","",""
"","","","","……………………………………………………….","","","","","","",""
"","","","","T.W.K.I.Pushpakumara","","","","","","",""
"","","","","Assistant Director / Duty Officer","","","","","","",""
"","","","","For Director General","","","","","","",""
"","","","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","","",""
