"","Weather Forecast for Main Cities","","","","10-Oct-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","95","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","25","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","31","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","29","25","95","75","A few showers"
"Jaffna","32","26","85","70","Showers or thundershowers after 2.00p.m"
"Kandy","30","22","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","14","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","24","95","75","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","90","75","Showers or thundershowers after 2.00p.m"
