"686","2068","","","","","1","","","5","685","2066"
"1634","5335","0","0","0","0","4","0","0","6","705","2260"
"1634","5335","0","0","0","0","4","0","0","6","705","2260"
"4153","14164","5","5","1","6","259","2","0","29","946","3149"
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","ගවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","……………………………………………………….","","","","","","","","",""
"","","Mr. T.W.K.I.Pushpakumara","","","","","","","","",""
"","","Assistant Director  / Duty Officer","","","","","","","","",""
"","","For Director General","","","","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","",""
