"tl khfhzk","මුලතිව්","","","","","","","","","","","","","","","",""
"Northen","3
Maritimepattu
Ky;iyj;jPT","Explosion","2021.04.25","2","12","1","1","","","","","","","","","",""
"","Mulaitivu","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2","12","1","1","","0","0","0","0","0","0","0","0",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","1612","4951","1","1","","0","0","0","0","0","0","0","0",""
"","්මොනරොගල","","","","","","","","","","","","","","","",""
"","Monaragala
4
nkhdwhfiy","Drowning","2021.04.23","","","1","","","","","","","","","","",""
"ඌෙ","","","","","","","","","","","","","","","","",""
"Cth","Moneragala","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","0","0","1","0","0","","0
0","","0","0","0","0","0",""
"Uva","","","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","0","0","1","0","0","","0
0","","0","0","0","0","0",""
"","හම්බන්තොට","","","","","","","","","","","","","","","",""
"දකුනු පලොත","5
Katuwana
`k;ghe;Njhl;il","Lightning","2021.04.23","1","2","","","","","","1","","","","","",""
"njd;","Hambantota","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","1","2","0","0","0","","0","1","0","0","0","0","0",""
"Southern","","","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","1","2","0","0","0","","0","1","0","0","0","0","0",""
