"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","5","0","0","0","0","1","","0","","0","0","0","0"
"Northen","","","","","","","","","","","","","","","","","",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","5","0","0","0","0","1","","0","","0","0","0","0"
"","","","Kothmale
Cutting failure","2022.08.01","52","208","","","3","","45","","","","","","",""
"","","","Ambagamuwa","Cutting failure / Flood
2022.08.01","159","610","3","","","1","92","","","","","5","79","287 01.Aulton Kovila                 
02. Gawaravila Tamil School"
"","","නුවරඑලිය","","","","","","","","","","","","","","","",""
"","2","Etnuypah","","","","","","","","","","","","","","","",""
"","","Nuwara Eliya","Nuwaraeliya","Flood / Landslide Risk
2022.08.01","258","923","","","","","202","","","","","2","7","27"
"","","","Hanguranketha
High Wind","2022.08.01","2","10","","","","","2","","","","","","",""
"","","","Walapane
Rock fallen","2022.08.01","1","4","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","472","1755","3","0","3","1","342","","0","","0","7","86","314"
"","","","","Heavy Rain & High","","","","","","","","","","","","","",""
"","","","Pathadumbara","","2","10","","","","","2","","","","","","",""
"","","","wind","","","","","","","","","","","","","","",""
"","","","Yatinuwara
Tree Fallen","","6","17","","","","","6","","","","","","",""
"","","","Harispattuwa","","7","31","","","","","7","","","","","","",""
"","","","Pathahewaheta","","2","5","","","","","2","","","","","","",""
"","","","Gangawatakorale","","7","31","","","","","7","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","",""
"","","","Akurana","","2","7","","","","","2","","","","","","",""
"kj;jpa","","","","","","","","","","","","","","","","","",""
"","","","Deltota","","2","7","","","","","2","","","","","","",""
"khfhzk;","3","නුවර fz;b Kandy","","2022.08.01","","","","","","","","","","","","","",""
"","","","Minipe","","1","4","","","","","1","","","","","","",""
"Central","","","","","","","","","","","","","","","","","",""
"","","","Doluwa","","3","12","","","","","3","","","","","","",""
"","","","Poojapitiya","","8","39","","","","","8","","","","","","",""
"","","","Udunuwara","","7","28","","","","","7","","","","","","",""
"","","","Madadumbara","","11","44","","","","","11","","","","","","",""
"","","","Udapalatha","","168","475","","","","","7","","","","","","",""
"","","","Pasbagekorale
Flood","","726","3398","1","","","","","","","","","5","51","260"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","952","4108","1","0","0","0","65","","0","","0","5","51","260"
"","","","Rattota","2022.08.01","17","65","","1","","","17","","","","","","",""
"","","","Ukuwela","2022.08.03","5","15","","","","","5","","","","","","",""
"","","මාත්ල් khj;jis","","","","","","","","","","","","","","","",""
"","4","","Yatawattha","Heavy Rain
2022.08.01","2","6","","","","","2","","","","","","",""
"","","Matale","","","","","","","","","","","","","","","",""
"","","","Mathale","2022.08.03","3","9","","","","","3","","","","","","",""
"","","","Pallepola","2022.08.04","6","20","","","","","6","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","33","115","0","1","0","0","33","","0","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1457","5978","4","1","3","1","440","","0","","0","12","137","574"
"","","ගාල්ල","Madampagama
Tree Fallen","","1","2","","","","","1","","","","","","",""
"","5","","","2022.08.01","","","","","","","","","","","","","",""
"","","fhyp       Galle","Kadawathsathra
Rock fallen","","1","6","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","2","8","0","0","0","0","2","","0","","0","0","0","0"
"","","","Okewela
Fire","2022.08.02","1","4","","","","","","","1","","","","",""
"","","හම්බන්තාට","Landslide","","2","6","","","","","2","","","","","","",""
"","6","`k;ghe;Njhl;il","Flood","","1","3","","","","","1","","","","","","",""
"","","","Walasmulle","2022.08.01","","","","","","","","","","","","","",""
"","","Hambantota","","","","","","","","","","","","","","","",""
"","","","","Heavy Rain & High","","","","","","","","","","","","","",""
"","","","","","2","10","","","","","2","","","","","","",""
"","","","wind","","","","","","","","","","","","","","",""
