"khfhzk","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total","2","4","0","0","0","0","2","0","0","0","0",""
"North Western","","","","","","","","","","","","",""
"","පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total","2","4","0","0","0","0","2","0","0","0","0",""
"මුළු එකතව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","2367","8895","2","1","0","28","1161","11","0","8","171","586"
"","","","","ආපදො  ළමනො රණ මධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
"","","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","","කවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","","…..............................................","","","","","","","","",""
"","","","","K.G.Mahendra Jagath","","","","","","","","",""
"","","","","Deputy Director / Duty Officer","","","","","","","","",""
"","","","","For Director General","","","","","","","","",""
"","","","","* This is an authorized report by DMC - EOC duty officer.","","","","","","","","",""
