"","","","","","","","","hH","","",""
"மாவட்டம்","gpuNjr nra.gp","","commenced","FLk;gq;fs;","egHfs;","","Injured","","","","T"
"","","","","","","","","Missing","KOik Fully","",""
"","DS Division","","","Families","People","","People","","","",""
"District","","","","","","","","People","","","Partially"
"","","High Wind","2025.08.01","2","7","","","","","2",""
"","","High Wind","2025.08.01","7","28","","","","","7",""
"හම්බනවතාට","","","","","","","","","","",""
"`k;ghe;Njhl;il 
1","Hambantota","High Wind","2025.08.01","2","8","","","","","2",""
"Hambantota","","","","","","","","","","",""
"","","High Wind","2025.08.01","4","20","","","","","4",""
"","","High Wind","2025.08.01","2","5","","","","","2",""
"දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","17","68","0","0","0","0","17",""
