"2","7","","","","","2","",""
"55","203","0","0","0","0","55","0","0"
"700","2888","0","0","0","0","55","0","0"
"85388","336174","0","0","0","0","56","0","0"
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","",""
"","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","",""
"","","වවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","",""
"","","……………………………………………………….","","","","","",""
"","","Mahendra Jagath","","","","","",""
"","","Assistant Director   / Duty Officer","","","","","",""
"","","For Director General","","","","","",""
"","","* This is an authorized report by DMC - EOC duty officer. No Signature is required","","","","","",""
