"","","ගාල්ල","","","","","","","","","","","","","","","",""
"","","","Nagoda","Tree Fallen","2023.09.02","1","2","","","","","","1","","","","",""
"","1","fhyp","","","","","","","","","","","","","","","",""
"දකුනු පලාත","","","Imaduwa","Tree Fallen","2023.09.03","1","5","","","","","","1","","","","",""
"","","Galle","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","Akmeemana","Tree Fallen","2023.09.03","1","3","","","","","","1","","","","",""
"Southern","","","Habaraduwa","High Wind","2023.09.01","2","8","","","","","","2","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","7","24","","0","0","0","0","7","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","7","24","","0","0","0","0","7","0","0","0","0","0"
"","","","Horana","High wind","2023.09.02/03","5","23","","","","","","5","","","","",""
"","","","Bandaragama","High wind","2023.09.02/03","4","14","","","1","","","4","","","","",""
"","","","Mathugama","High wind / Lightning","2023.09.02","5","13","","","","","","5","","","","",""
"","","","Kalutara","High wind","2023.09.03","4","13","","","","","","4","","","","",""
"","","කළුතර   fSj;Jiw","","","","","","","","","","","","","","","",""
"","2","","Beruwala","High wind","2023.09.03","1","4","","","","","","1","","","","",""
"","","Kalutara","","","","","","","","","","","","","","","",""
"","","","Madurawala","Heavy Rain","2023.09.03","","","","","","","","","1","","","",""
"","","","Palindanuwara","High wind","2023.09.03","1","5","","","","","","1","","","","",""
"","","","Panadura","Heavy Rain","2023.09.04","1","4","","","","","","1","","","","",""
"","","","Dodangoda","Heavy Rain","2023.09.04","4","15","","","","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","25","91","","0","1","0","0","21","1","0","0","0","0"
"Western","","","Moratuwa","","","9","37","","","","","","7","1","","","",""
"Nky; khfhzk;","","","","","2023.09.03","","","","","","","","","","","","",""
"","","","Ratmalana","","","1","4","","","","","","1","","","","",""
"බස්නාහිර පලාත","","","","","","","","","","","","","","","","","",""
"","","","Padukka","","2023.09.04","2","9","","","","","","2","","","","",""
"","","කකාළඹ   nfhOk;G","Kesbewa","Heavy Rain & High","","7","34","","","","","","7","1","","","",""
"","","","","","2023.09.03","","","","","","","","","","","","",""
"","3","Colombo","Kolonnawa","Wind","","1173","4185","","","","","","","","","","",""
"","","","Dehiwala","","2023.09.01/03","3","10","","","","","","3","","","","",""
"","","","Kaduwela","","","2","9","","","","","","2","","","","",""
"","","","","","2023.09.03","1","6","","","","","","1","","","","",""
"","","","Seetawaka","","","","","","","","","","","","","","",""
"","","","","Fire","","1","3","","","","","","1","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","1199","4297","","0","0","0","0","24","2","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","1224","4388","","0","1","0","0","45","3","0","0","0","0"
"","","","Kahawatta","High wind","2023.09.03/04","2","7","","","","","","2","","","","",""
"","","","Ayagama","High wind","2023.09.03/04","3","13","","","","","","3","","","","",""
"","","","Kuruvita","High wind","2023.09.02/03","8","38","","","","","","8","","","","",""
"","","","Elapatha","High wind","2023.09.02/03","10","40","","","","","","10","","","","",""
"","","","Kiriella","High wind","2023.09.01","1","3","","","","","","1","","","","",""
"","","රත්නපුර ,uj;jpdGhp","","","","","","","","","","","","","","","",""
