"","Weather Forecast for Main Cities","","","Date :","15-Aug-2025",""
"","Temperature (0C)","","","Relative Humidity (%)","",""
"City","","","","","","Weather"
"","Max","Min","Max","Min","",""
"Anuradhapura","33","25","90","60","Mainly fair",""
"Batticaloa","33","25","80","55","Mainly fair",""
"Colombo","30","26","90","70","Several spells of showers",""
"Galle","29","26","95","75","Several spells of showers",""
"Jaffna","30","26","90","70","A few showers",""
"Kandy","27","22","95","75","Several spells of showers",""
"Nuwara-Eliya","16","13","95","75","Several spells of showers",""
"Ratnapura","31","23","95","80","Several spells of showers",""
"Trincomalee","34","26","85","60","Mainly fair",""
"Mannar","31","27","90","60","Mainly fair",""
