"The forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"27.11.24/0600","8.7/82.2","55-65 gusting to 75","Deep Depression"
"27.11.24/1200","9.0/82.1","60-70 gusting to 80","Cyclonic Storm"
"27.11.24/1800","9.4/82.0","60-70 gusting to 80","Cyclonic Storm"
"28.11.24/0000","9.8/81.9","65-75 gusting to 85","Cyclonic Storm"
"28.11.24/0600","10.2/81.8","65-75 gusting to 85","Cyclonic Storm"
"28.11.24/1800","10.8/81.6","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/0600","11.3/81.3","60-70 gusting to 80","Cyclonic Storm"
"29.11.24/1800","11.7/80.9","60-70 gusting to 80","Cyclonic Storm"
"30.11.24/0600","12.1/80.4","50-60 gusting to 70","Deep Depression"
