"","","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","",""
"","","","","","බලපෑමට ලක්වු","","","","","","","","","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","","","","","","Nrjkile;j","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","","","","ghjpf;fg;gl;l","","","","","","","","","","","",""
"","","Administrative purview","","","","","","","","tPLfs; Houses","","","Other Damages","","","miktplk; Safe Location",""
"","","","","","Affected","","","තුවාලවු","අතුරුදහ","","","","","","","",""
"","","","","","","","","","","Damaged","","","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","","",""
"","","","","mdu;j;jk;","","","මිය යෑම්","","පුද්ගලයින්","","","","","","","",""
"","","","ආපදාව","","","","","","","","","කුඩා හා මධය","","","","",""
"පළාත","","","","","","","kuzq;f","fhakil","fhzhky;","","","","","","","","ලවනත් කරුණු"
"#","","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","පරිමාණ වයාපාරික","","","","",""
"khfhzk; Province","","","","","","","s;","e;NjhH","NghNdhH","","","","","ඉතා වැදගත් යටිතල","ආරක්ිත","","NtW Fwpg;Gf;fs; Remarks"
"","","","Disaster","Date of","","","Deaths","","","","","ස්ත්‍
රථාන சிறிய,","","පහසුකම් වලට වූ 
ස්ත්‍","රථාන","",""
"","","","","","","","","","","","","","","","","පවුේ",""
"","","","","","පවුේ","","","","","පූර්ණ","අර්ධ හානි","நடுத்தர,","","","","",""
"","දිස්ත්‍රික්කය","ප්‍රා.ලේ. ලකා","","commenced","","පුද්ගලයින්","","Injured","Missing","","","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"","","","","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","நிறுவனங் க","","","","",""
"","மாவட்டம்","gpuNjr nra.gp     DS","","","","egHfs;","","People","People","","","","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","","","FLk;gq;fs;","","","","","KOik","T","ளின்","","","","",""
"","","","","","","People","","","","","","","","Damages to","f   No.","s;","Persons"
"","District","Division","","","Families","","","","","Fully","Partially","சேதங் கள்","","","","",""
"","","","","","","","","","","","","","","critical","of Safety","Families",""
"","","","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","","","","","","","","Infrastructure","Locations","",""
"","","","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","","","Damages","","","","",""
"","","","Lightning","","1","5","","","","","1","","","","","",""
"","","Kiriella","","2021.10.27","","","","","","","","","","","","",""
"","","","Heavy Rain","","1","4","","","","","1","","","","","",""
"","","","Heavy Rain","2021.10.31","2","6","","","","","","","","","","",""
"","","","Heavy Rain","","2","9","","","","","2","","","","","",""
"","","","","2021.10.29","","","","","","","","","","","","",""
"","","Godakawela","Landslide","","1","6","","","","","1","","","","","",""
"","","","Heavy Rain","2021.10.31","2","6","","","","","","","","","","",""
"","","","High Wind","2021.11.04","1","4","","","","","1","","","","","",""
"","","Balangoda","Lightning","2021.10.29","1","4","","","","","1","","","","","",""
"","රත්නපුර","","Rock Fallen","2021.10.31","2","5","","","","","2","","","","","",""
"","","Kahawattha","","","","","","","","","","","","","","",""
"1",",uj;jpdGhp","","","2021.11.04","1","3","","","","","1","","","","","",""
"","","","Cutting Faliure","","","","","","","","","","","","","",""
"","Rathnapura","","","2021.10.31","10","45","","","","1","1","","","","","",""
"","","Imbulpe","","","","","","","","","","","","","","",""
"","","","Lightning","2021.10.31","1","4","","","","","1","","","","","",""
"","","Kalwana","Heavy Rain","2021.10.31","8","25","","","","","8","","","","","",""
"ස්ත්‍බරගමුව","","Elapatha","Flood","2021.11.01","8","32","","","","","1","","","","","",""
"පලාත","","Kuruvita","High Wind","2021.1102","18","62","","","","","18","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"","","Kolonna","High Wind","2021.11.02","1","3","","","","","1","","","","","",""
"Sabaragamuw","","","","","","","","","","","","","","","","",""
"","","Weligepola","High Wind","2021.11.03","2","6","","","","","2","","","","","",""
"a","","","","","","","","","","","","","","","","",""
"","","Opanayake","Heavy Rain","2021.11.01","1","4","","","","","1","","","","","",""
"","","Nivithigala","Cutting Faliure","2021.11.01","14","51","","","","","4","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","77","284","0","0","0","1","47","","0","0","0","0","0"
"","","Bulathkopitiya","Cutting Faliure","2021.10.31","5","19","","","","","2","","","","","",""
"","","","Heavy Rain &","","","","","","","","","","","","","",""
"","","Kegalle","","2021.10.31","8","32","","","","","6","","","","","",""
"","","","Tree Fallen","","","","","","","","","","","","","",""
"","කෑගල්ල","","Lightning","2021.10.26","7","27","","","","","2","","","","","",""
"","","Yatiyanthota","","","","","","","","","","","","","","",""
"2","Nffhiy","","","","","","","","","","","","","","","",""
"","","","Cutting Faliure","2021.10.31","5","26","","","","","2","","","","","",""
"","Kegalle","","","","","","","","","","","","","","","",""
"","","Mawanella","Cutting Faliure","2021.10.31","11","43","","","","","6","","","","","",""
"","","Rambukkana","Tree Fallen","2021.10.31","5","23","","1","","","4","","","","","",""
"","","Warakapola","Cutting Faliure","2021.10.30","3","10","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","44","180","0","1","0","0","23","","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","121","464","0","1","0","1","70","","0","0","0","0","0"
"","","","Flash Flood","","99","352","","","","","","","","","","",""
"","","","","2021.10.29","","","","","","","","","","","","",""
"","","Nuwara Eliya","Cutting Faliure","","22","96","","","","","","","","","1","6","28 Health Center - Ruwan Eliya"
"","","","Flood","2021.11.03","2","13","","","","","1","","","","1","2","13 Thangakale Temple"
"","නුවරඑලිය","","","","","","","","","","","","","","","",""
"","","","Cutting Faliure","2021.10.23","10","37","","","","","","","","","1","10","37 Sn Lenard School"
"3","Etnuypah","","","","","","","","","","","","","","","",""
"","","Walapane","","","","","","","","","","","","","","",""
"","Nuwara Eliya","","Flash Flood","2021.10.29","15","52","","","","","","","","","1","5","18 Day Care centre - 
Ragalaaththa"
