"","","","","Date :","17-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","40","Mainly fair"
"Batticaloa","33","25","90","65","Mainly fair"
"Colombo","33","27","80","60","Mainly fair"
"Galle","31","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","24","90","60","Mainly fair"
"Kandy","34","21","90","50","Mainly fair"
"Nuwara-Eliya","23","11","95","45","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","34","25","90","60","Mainly fair"
"Mannar","34","25","90","55","Mainly fair"
