"01 
 
 
 
 
කළුතර","","3","8",""
"35 
1119 
5067 
200 
එකතුව 
 
27","792","31303","130672","1"
"▪  බලපෑමට ලක් වූ දිසරික් සංඛ්‍යාව",":","05","",""
"▪  බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ සංඛ්‍යාව",":","35","",""
"▪  මියයෑම්",":","01","",""
"▪","අතුරුදහන් වීම්                                                                   :          01","","",""
"▪  තුවාල ලැබූ සංඛ්‍යාව",":","01","",""
"▪  මුළු සුරක්ෂිත මධ්‍යසරථාන සංඛ්‍යාව",":","27","",""
"▪  සුරක්ෂිත මධ්‍යසරථානයන්ි සිටින මුළු පවුේ සංඛ්‍යාව",":","1119","",""
"▪  සුරක්ෂිත මධ්‍යසරථානයන්ි සිටින මුළු පුේගල සංඛ්‍යාව",":","5067","",""
"▪  ඥාති නිවාස වල සිටින මුළු පවුේ සංඛ්‍යාව",":","200","",""
"▪  ඥාති නිවාස වල සිටින මුළු පුේගල සංඛ්‍යාව",":","792","",""
"▪  බලපෑමට ලක් වූ මුළු පවුේ සංඛ්‍යාව",":","31303","",""
"▪  බලපෑමට ලක් වූ මුළු පුේගල සංඛ්‍යාව",":","130672","",""
"▪  මුළු අර්ධ්‍ හානි සංඛ්‍යාව",":","317","",""
"▪  මුළු පූර්ණ හානි සංඛ්‍යාව",":","5","",""
