"දිනය/යේලාව)","ස
්ථානය","උපරිම සුළයේ යේගය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලංකා පැය)","(උතුරු අක්ාංශ oN","",""
"","නැයගනහි","",""
"","යද්ශාංශ  oE)","",""
"03.12.23/0530","11.7/82.3","60-70, විටින් විට 80 දක්වා","සුළි කුණාටුවක්"
"03.12.23/1130","12.2/81.9","65-75, විටින් විට 85 දක්වා","සුළි කුණාටුවක්"
"03.12.23/1730","12.7/81.4","70-80, විටින් විට 90 දක්වා","සුළි කුණාටුවක්"
"04.12.23/0530","13.5/81.0","75-85, විටින් විට 95 දක්වා","සුළි කුණාටුවක්"
"04.12.23/1730","14.5/80.6","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"05.12.23/0530","15.5/80.8","80-90, විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"05.12.23/1730","16.5/81.2","60-70, විටින් විට 80 දක්වා","සුළි කුණාටුවක්"
"06.12.23/0530","17.6/82.3","45-55, විටින් විට 65 දක්වා","පීඩන අවපාතයක්"
"06.12.23/1730","18.5/83.5","25-35, විටින් විට 45 දක්වා","අඩු පීඩන කලාපයක්"
