"","","Tree Fallen","2022.10.29","1
4","","","","","1","","","","",""
"","Ruwanwella
කෑගල්ල","","","","","","","","","","","","",""
"","","Lightning","2022.10.29","2
9","","","","","1","","","","",""
"","Nffhiy   
2","","","","","","","","","","","","",""
"","","Tree Fallen","2022.10.30","1
4","","","","","1","","","","",""
"","Kegalle
Deraniyagala","","","","","","","","","","","","",""
"","","Cutting Faliure","2022.10.30","1
4","","","","","1","","","","",""
"","","Cutting Faliure","2022.10.30","1
4","","","","","1","","","","",""
"","Bulathkohupitiya","","","","","","","","","","","","",""
"","","High Wind","2022.10.30","1
4","","","","","1","","","","",""
"","Aranayake","Lanslide Risk","2022.11.03","2
10","","","","","","","","","",""
"","Dehiowita","Cutting Faliure","2022.10.31","1
5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","21
90","0","0","0","0","18","0","0","0
0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","59
218","0","0","0","0","52","0","0","0
0","0",""
"","Welimada","Heavy Rain &","","2
9","","","","","2","","","","",""
"","Bandarawela","Highwind","","7
27","1","","","","5","","","","",""
"","","Lightning & Cutting","","","","","","","","","","","",""
"","Ella","","","7
29","","","","","6","","","1
3","15",""
"","","Failture","","","","","","","","","","","",""
"","Uvaparanagama","Cutting Faliure","","3
13","","","","","1","","","","",""
"","Haliela","Heavy Rain","","3
8","1","","","","2","","","","",""
"","Meegahakiula
බදුල්ල","High wind","","1
3","","","","","1","","","","",""
"","gJs;is   
3","Landslide Risk &","2022.10.31 /11.01","","","","","","","","","","",""
"ඌව","Passara","","","82
328","","","","","50","","","1
8","33",""
"","Badulla","Cutting faliture","","","","","","","","","","","",""
"Cth khfhzk","","","","","","","","","","","","","",""
"","Haldunmulla","Lightning","","1
4","","","","","1","","","","",""
"; Uva","","","","","","","","","","","","","",""
"","Kandakatiya","Lightning","","1
3","","","","","1","","","","",""
"","Lunugala","Heavy Rain","","1
3","1","","","","","","","","",""
"","Soranatota","High wind","","1
7","","","","","1","","","","",""
"","Haputale","Cutting faliture","","1
3","","","","","1","","","","",""
"","Badulla","Cutting faliture","","1
3","","","","","","","","","",""
