"දිනය /jpfjp / Date : 06th June 2020 at 1800hrs","","","","","","","","","","",""
"","","","","","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected","","","","","",""
"","","","","","/பாதிக்கப்பட்டவர்களின்  விவரங் கள்","","","","","",""
"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j",""
"","","","","","","","","","අතුරුෛහ","",""
"Administrative purvie","","","","","","ඥාති ස්ත්‍හලවනත් නිවාස්ත්‍","","තුවාලවු","","tPLfs; Houses Damaged",""
"","","","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","","බලපෑමට ලක්වු","","න්ූ","",""
"","","","","","","වල සිටින / In","","පුද්ගලයි","","",""
"","","ආරම්භක දිනය","","","","","","","පුද්ගලයි","",""
"","","","","miktplk; Safe Location","","","ghjpf;fg;gl;l Affected","න්","","",""
"පළාත","ආපෛාව","mdu;j;jk;","","","","relatives' homes","","මිය යෑම්","න්","",""
"","","","","","","","","fhaki","","","ලවනත් කරුණු         NtW"
"khfhzk; 
#","mdHj;jk;","Muk;gpj;j jpfjp","","","","","","kuzq;fs;","fhzhk","",""
"","","","ආරක්ිත","","","","","le;NjhH","","","Fwpg;Gf;fs; Remarks"
"Province","Disaster","Date of","","","","","","Deaths","y;NghNd","",""
"","","","ස්ත්‍
රථාන","පවුේ","","පවුේ","","","","",""
"","","commenced","","","","","පවුේ","","hH","පූර්ණ 
අර්ධ හානි",""
"දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","","","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Injured","","සුළු හානි/",""
"","","","","","","","ස්ත්‍ංඛ්‍යාව","","Missing","හානි 
gFjpas",""
"மாவட்டம்  
gpuNjr nra.gp      DS","","","vz;zpf;if","FLk;gq;f","egHfs;","egHfs; 
FLk;gq;f","egHfs;","People","","Minor",""
"","","","","","","","FLk;gq;fs;","","People","T 
KOik",""
"District
Division","","","No. of","s;","Persons","s; 
Persons","People","","","damage",""
"","","","","","","","Families","","","Partially
Fully",""
"","","","Safety","Families","","Families","","","","",""
"","","","Locations","","","","","","","",""
"Palmadulla","","","2","7","31","","","","","",""
"රත්නපුර ,uj;jpdGhp","Flood and","","","","","","","","","",""
