"","Weather Forecast for Main Cities","","","Date :","18-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","28","23","95","80","Several spells of showers"
"Batticaloa","29","25","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","30","25","90","65","Several spells of showers"
"Galle","31","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","28","24","90","75","Showers or thundershowers at times"
"Kandy","26","20","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","14","95","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","30","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","90","80","Showers or thundershowers at times"
"Mannar","28","24","90","70","Several spells of showers"
