"","","","","","","","","Ministry of Disaster Managemet","","","","","","","",""
"","","","","","South-West monsoon 2018 - Situation Report Summary (From 2018.05.18  to 2018.06.03)","","","","","","","","","","",""
"","","Disaster management Center (DMC)","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","National Disaster Relief Service Center, NDRSC",""
"","","","","","","","","","03rd June 2018 - 1200hrs","","","","","","",""
"","","","","","","","","","නිවාස හානි","","","","","","",""
"","පරිපාලන ප්‍රදේශය","","","","","","","","","","","","","","",""
"","","","","","බලපෑමට ලක්වු","","","අතුරුදහ","Nrjkile;j","","","","","","",""
"","நிர்வாகப் பிரிவு","","","","","","","","","","","","","ආරක්ෂිත ස්ථාන ghJfhg;ghd","",""
"","","","","","ghjpf;fg;gl;l","","","","tPLfs;","","දවනත් හානි வவ​று Other Damages","","","","",""
"","","","","","","","","න්වූ","","","","","","","",""
"","Administrative","","","","","","","","","","","","","miktplk; Safe Location","",""
"","","","","","Affected","","","","Houses","","","","","","",""
"","","","","","","","","පුේගලයි","","","","","","","",""
"","purview","","","","","","","","","","","","","","",""
"","","","","","","","තුවාලවු","","Damaged","","","","","","",""
"","","","","","","","","න්","","","","","","","",""
"","","","ආරම්භක දිනය","","","මිය යෑම්","පුේගලයින්","fhzhk","","","","","","","",""
"","","ආපදාව","","","","","","","","","","ඉතා වැදගත්","","","",""
"","","","mdu;j;jk; Muk;gpj;j","","","kuzq;f","fhakile;","y;","","","කුඩා හා මධය පරිමාණ","","","","",""
"p","","mdHj;jk;","","","","","","","","","","යටිතල පහසුකම්","ආරක්ෂිත","","",""
"","","","jpfjp       Date of","","","s;","NjhH","NghNdh","","","","","","","",""
"","","","","පවුල්","","","","","","","වයාපාරික ස්ථාන  rpW","","","","",""
"","","Disaster","","","","","","","පූර්ණ","","","වලට වූ හානි","ස්ථාන","","",""
"","","","commenced","","","Deaths","Injured","H","","","","","","","",""
"","දිස්ත්‍රික්කය","","","සංඛ්‍යාව","පුේගලයින්","","","","","හානි","kw;Wk; kj;jpa","","","පවුල් සංඛ්‍යාව","පුේගලයින්",""
"","","","","","","","","Missin","හානි","","","mbg;gilf;","සංඛ්‍යාව","","",""
"","khtl;lk;","","","FLk;gq;f","egHfs;","","Persons","","","gFjp","Kaw;rpfs; Small,","","","FLk;gq;fs;","egHfs;","Description"
"","","","","","","","","g","KO","","","fl;likg;Gf;fs;","vz;zpf;if","","",""
"","District","","","s;","Persons","","","","","Partia","Medium,","","","Families","Persons",""
"","","","","","","","","Person","Fully","","","Damages to","Safety","","",""
"","","","","Families","","","","","","lly","Enterprises","","","","",""
"","","","","","","","","s","","","","critical","Locations","","",""
"","","","","","","","","","","","Damages","","","","",""
"","","","","","","","","","","","","Infastructure","","","",""
"1 Mulaitiuv","","","2018.05.19/20","19","64","0","0","0","1","7","0","0","0","0","0",""
