"","1
m.Guk;","","","","","","","","","","","","","","","","","",""
"","Anuradhapura","","","","","","","","","","","","","","","","","",""
"","","Horowpothana
Flash Flood","2025.01.18","1","8","","","","","","","","","","","1","1","","8 Mukkarawa Temple"
"උතුරුමැද පලාත","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","13","0","0","","0","0","0","","0","","0","2","2","13",""
"tlkj;jpa","","","","","","","","","","","","","","","","","","",""
"","","Thamankaduwa","","18","76","","","","","","","","","","","","","",""
"khfhzk;","ගපාගලාන්නරුව","","","","","","","","","","","","","","","","","",""
"","","Hingurakgoda","","20","73","","","","","","","","","","","","","",""
"North Central","nghyd;dWit 
2","Flood","2025.01.19","","","","","","","","","","","","","","","",""
"","Polonnaruwa","Lankapura","","50","179","","","","","","","","","","","","","",""
"","","Medirigiriya","","3","15","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","91","343","0","0","","0","0","0","","0","","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","93","356","0","0","","0","0","0","","0","","0","2","2","13",""
"","","","Heavy Rain & Flash","","","","","","","","","","","","","","","",""
"","කිලිගනාච්චිය","Kandawalai","2025.01.15-17","314","857","","","","","","","","","","","","","",""
"","","Flood","","","","","","","","","","","","","","","","",""
"","3
fpspnehr;rp","","","","","","","","","","","","","","","","","",""
"","Killinochchi","Karachchi
Tree Fallen","2025.01.15-17","1","2","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","315","859","0","0","","0","0","0","","0","","0","0","0","0",""
"","යාපනය","","","","","","","","","","","","","","","","","",""
"","4
aho;g;ghzk;","Jaffna
High Wind","2025.01.19","49","222","","3","","","","49","","","","","","","",""
"","Jaffna","","","","","","","","","","","","","","","","","",""
"උතුරු පලාත","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","49","222","0","3","","0","0","49","","0","","0","0","0","0",""
"tl khfhzk;","වව්නියාව","","","","","","","","","","","","","","","","","",""
"","","Vavuniya North","","2","11","","","","","","","","","","","","","",""
"Northen ;","5
tTdpah","Flood","2025.01.19","","","","","","","","","","","","","","","",""
"","Vavuniya","Vengalacheddikulam","","5","19","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","7","30","0","0","","0","0","0","","0","","0","0","0","0",""
"","මන්නාරම","","","","","","","","","","","","","","","","","",""
"","kd;dhH    
6","Mannar Town","Heavy Rain / Flood
2025.01.19","120","385","","","","","","","","","","","","","",""
"","Mannar","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","120","385","0","0","","0","0","0","","0","","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","491","1496","0","3","","0","0","49","","0","","0","0","0","0",""
"","","Irakkamam","","1","6","","","","","","","","","","","","","",""
"","","Dehiaththakandiya","","8","31","","","","","","","","","","","1","8","31",""
"","අම්පාර","Pottuvil","","3984","11649","","","","","","","","","","","","","",""
"","mk;ghiw    
7","","Heavy Rain & Flood
2025.01.18","","","","","","","","","","","","","","","",""
"","Ampara","Uhana","","51","152","","","","","","","","","","","","","",""
"","","Karaitivu","","690","1908","","","","","","","","","","","","","",""
"","","Samanthurei","","40","126","","","","","","2","","","","","1","18","60",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","4774","13872","0","0","","0","0","2","","0","","0","2","26","91",""
"","","Manmunai North","","13","32","","","","","","","","","","","1","13","32","Methodist pre School"
"","මඩකලපුව","","","","","","","","","","","","","","","","","",""
"","","Eravur Pattu","","8","31","","","","","","","","","","","","","",""
"නැගෙනහිර පලාත","8
kl;lf;fsg;G","","Flood
2025.01.13","","","","","","","","","","","","","","","",""
"fpof;F","","Manmunai West","","3","7","","","","","","3","","","","","","","",""
"","Batticaloa","","","","","","","","","","","","","","","","","",""
"Eastern","","Manmunai South / Eruvil","","107","370","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","131","440","0","0","","0","0","3","","0","","0","1","13","32",""
