"","2","fz;b","Minipe","High wind","2019.12.20","10","47","","","","","","","","","1","10","","47 Thorapitiya Temple"
"","","Kandy","","","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","10","47","0","","0","0","0
0","","0","0","1","10","47",""
"මධයම පලාත","","","","","","","","","","","","","","","","","","","01. Munwatte Temple     02."
"kj;jpa khfhzk;","","","Walapane","Land Slide Risk","2019.11.30","8","20","","","","","","","","","2","8","20","Naranthalawa Wewakele"
"Central","","නුවරඑලිය","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","temple"
"","3","Etnuypah","","","","","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","2019.12.05","2","11","","","","","","","","","1","2","","11 Lipakele Day Care Centre"
"","","","Nuwaraeliya","Land Slide","","","","","","","","","","","","","","",""
"","","","","","2019.12.19","1","5","","","","","","","","","1","1","","5 Headrest Cultural Centre"
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","11","36","0","","0","0","0
0","","0","0","4","11","36",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","21","83","0","","0","0","0
0","","0","0","5","21","83",""
"","","පුත්තලම   Gj;jsk;","","","","","","","","","","","","","","","","",""
"","4","","Wanathavilluwa","Drowning","2020.01.14","1","5","3","","","","","","","","","","",""
"වයඹ පලාත  tlNky;","","Puttalam","","","","","","","","","","","","","","","","",""
"khfhzk; North","","","","","","","","","","","","","","","","","","",""
"Western","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","5","3","","0","0","0
0","","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","1","5","3","","0","0","0
0","","0","0","0","0","0",""
"","","කෑගල්ල","Kegalle","","2020.01.14","1","2","","","","","1","","","","","","",""
"","","","","Tree fallen","","","","","","","","","","","","","","",""
"","5","Nffhiy","Mawanella","","","1","2","","","","","1","","","","","","",""
"සබරගමුව පලාත","","","","","2020.01.15","","","","","","","","","","","","","",""
"","","Kegalle","Ruwanwella","Fire","","1","3","","","","","1","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3","7","0","","0","0","1
2","","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","3","7","0","","0","0","1
2","","0","0","0","0","0",""
"","","මාතර       khj;jiw","","","","","","","","","","","","","","","","",""
"","6","","Hakmana","Tree fallen","2020.01.13","1","6","","","","","1","","","","","","",""
"","","Matara","","","","","","","","","","","","","","","","",""
"දකුනු පලාත     njd;","","","","","","","","","","","","","","","","","","",""
"khfhzk; Southern","","","","","","","","","","","","","","","","","","",""
