"","","","","","Page 3","","","","","","","","",""
"මඩකලපුව","","","","","","","","","","","","","",""
"Eravurpattu,","","","","","","","","","","","","","",""
"12
High Wind
නැ්ගනහිර 
kl;lf;fsg;G","2021.03.08","1","2","","","","","","1","","","","",""
"Chenkalady","","","","","","","","","","","","","",""
"පලාත     
Batticaloa","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","2","0","","0","0","0","1","0","0","0","0","0"
"Eastern","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","2","0","","0","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","203","755","3","","1","0","1","167","0","0","2","4","19"
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
