"2019.12.03","1","3","","","","1","","","","","",""
"","27","115","0","0","0","1","13","0","0","0","0","0"
"","27","115","0","0","0","1","13","0","0","0","0","0"
"","9175","30838","3","4","1","11","358","8","28","31","663","2081"
"","","","රොජකොරි භොර ිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","",""
"","","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","……………………………………………………….","","","","","","","","",""
"","","","H.D.G Priyatha","","","","","","","","",""
"","","","Assistant Director  / Duty Officer","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","","","","","","",""
