"Dambulla","Heavy Rain
2022.12.25","1","5","","","","","1","","","","","","",""
"මාතලේ","","","","","","","","","","","","","","",""
"khj;jis    
1
Yatawatta","Cutting Faliure
2022.12.25","13","57","","","","","1","","","","","","",""
"Matale","Heavy Rain & Cutting","","","","","","","","","","","","","",""
"Rattota","2022.12.25","5","14","","","","","1","","","","","","",""
"Faliure","","","","","","","","","","","","","","",""
"","Heavy Rain & Cutting","","","","","","","","","","","","","",""
"Abangangakoralaya","2022.12.25","11","46","","","","","1","","","","","","",""
"Faliure","","","","","","","","","","","","","","",""
"Wilgamuwa
Lightning","2022.12.25","2","5","","","","","2","","","","","","",""
"Na Ula","Cutting Faliure
2022.12.25","5","17","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","159","631","0","0","0","0","18","","0","","0","0","0","0"
"Gangawatakorale","","231","1016","","","","","17","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"Harispaththuwa
kj;jpa","","11","58","","2","","","11","","","","","1","5","35"
"khfhzk;   
Poojapitiya","","34","120","","","","","27","","","","","","",""
"Central","","","","","","","","","","","","","","",""
"Doluwa","","1","4","","","","","1","","","","","","",""
"Thumpanae","","2","8","","","","","2","","","","","","",""
"Udunuwara","","12","43","","","","","9","","","","","","",""
"නුවර","","","","","","","","","","","","","","",""
"","Heavy Rain & Cutting","","","","","","","","","","","","","",""
"fz;b         
2
Delthta","2022.12.25","1","4","","","","","1","","","","","","",""
"Faliure","","","","","","","","","","","","","","",""
"Kandy","","","","","","","","","","","","","","",""
"Pathahewanheta","","10","42","","","","","7","","","","","","",""
"Akurana","","33","130","2","3","","1","35","","","","","","",""
"Yatinuwara","","70","235","","","","","30","","","","","","",""
"Pathadumbara","","2","12","","","","","2","","","","","","",""
"Hataraliyadda","","6","21","","","","","6","","","","","","",""
"Udapalatha","","2","9","","","","","2","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","415","1702","2","5","0","1","150","","0","","0","1","5","35"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","574","2333","2","5","0","1","168","","0","","0","1","5","35"
"අම්පාර     
Uhana","2022.12.22-23","3","7","","","","","3","","","","","","",""
"mk;ghiw  
3","High Wind & Rain","","","","","","","","","","","","","",""
"Padiyathalawa
Ampara","2022.12.25","1","4","","","","","1","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4","11","0","0","0","0","4","","0","","0","0","0","0"
"Manmunai North
Lightning","2022.12.25","14","52","","","","","2","","","","","","",""
"Porativu Pattu","High Wind
2022.12.25","2","5","","","","","2","","","","","","",""
"මඩකලපුව","","","","","","","","","","","","","","",""
"4
kl;lf;fsg;G 
Eravur pattu","Lightning / Flood
2022.12.25","1","2","","","","","","","","","","","",""
"නැලෙනහිර පලාත","","","","","","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","","","","",""
"Manmunai Pattu
Lightning
    fpof;F","2022.12.25","2","7","","","","","","","","","","","",""
"Eastern
Koralai Pattu Central","High Wind
2022.12.25","1","4","","","","","1","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","20","70","0","0","0","0","5","","0","","0","0","0","0"
