"","","","","Faliure","","","","","","","","","","","","","","",""
"","","","Ukuwela","Landslide Risk","2022.12.25","36","151","","","","","7","","","","","","",""
"","","","Galewela","Cutting Faliure","2022.12.25","5","21","","","","","5","","","","","","",""
"","","","Dambulla","Heavy Rain","2022.12.25","1","5","","","","","1","","","","","","",""
"","","මාතගේ","","","","","","","","","","","","","","","","",""
"","1","khj;jis","Yatawatta","Cutting Faliure","2022.12.25","13","57","","","","","1","","","","","","",""
"","","Matale","","","","","","","","","","","","","","","","",""
"","","","","Heavy Rain & Cutting","","","","","","","","","","","","","","",""
"","","","Rattota","","2022.12.25","5","14","","","","","1","","","","","","",""
"","","","","Faliure","","","","","","","","","","","","","","",""
"","","","","Heavy Rain & Cutting","","","","","","","","","","","","","","",""
"","","","Abangangakoralaya","","2022.12.25","11","46","","","","","1","","","","","","",""
"","","","","Faliure","","","","","","","","","","","","","","",""
"","","","Wilgamuwa","Lightning","2022.12.25","2","5","","","","","2","","","","","","",""
"","","","Na Ula","Cutting Faliure","2022.12.25","5","17","","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","159","631","0","0","0","0","18","","0","0","0","0","0",""
"kj;jpa","","","","","","","","","","","","","","","","","","",""
"khfhzk;","","","Gangawatakorale","","","231","1016","","","","","17","","","","","","",""
"Central","","","","","","","","","","","","","","","","","","",""
"","","","Harispaththuwa","","","3","16","","2","","","3","","","","","","",""
"","","","Poojapitiya","","","34","120","","","","","27","","","","","","",""
"","","","Doluwa","","","1","4","","","","","1","","","","","","",""
"","","","","Heavy Rain & Cutting","","","","","","","","","","","","","","",""
"","","නුවර","","","2022.12.25","","","","","","","","","","","","","",""
"","","","","Faliure","","","","","","","","","","","","","","",""
"","2","fz;b","Thumpanae","","","2","8","","","","","2","","","","","","",""
"","","Kandy","","","","","","","","","","","","","","","","",""
"","","","Udunuwara","","","9","35","","","","","6","","","","","","",""
"","","","Delthta","","","1","4","","","","","1","","","","","","",""
"","","","Pathahewanheta","","","8","34","","","","","4","","","","","","",""
"","","","Akurana","Cutting Faliure","2022.12.25","33","130","2","3","","1","35","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","322","1367","2","5","0","1","96","","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","481","1998","2","5","0","1","114","","0","0","0","0","0",""
"","","අම්පාර","Uhana","","2022.12.22-23","3","7","","","","","3","","","","","","",""
"","3","mk;ghiw","","High Wind & Rain","","","","","","","","","","","","","","",""
"","","Ampara","Padiyathalawa","","2022.12.25","1","4","","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","4","11","0","0","0","0","4","","0","0","0","0","0",""
"","","","Manmunai North","Lightning","2022.12.25","14","52","","","","","2","","","","","","",""
"","","මඩකලපුව","","","","","","","","","","","","","","","","",""
"","","","Porativu Pattu","High Wind","2022.12.25","2","5","","","","","2","","","","","","",""
"","4","kl;lf;fsg;G","","","","","","","","","","","","","","","","",""
"නැගෙනහිර පලාත","","","","","","","","","","","","","","","","","","",""
"","","","Eravur pattu","Lightning / Flood","2022.12.25","1","2","","","","","","","","","","","",""
"","","Batticaloa","","","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","","","",""
"","","","Manmunai Pattu","Lightning","2022.12.25","2","7","","","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","19","66","0","0","0","0","4","","0","0","0","0","0",""
"","","ත්‍රීකුණාමලය","Seruwila","Heavy Rain","2022.12.25","1","3","","","","","1","","","","","","",""
"","5","jp.kiy","","","","","","","","","","","","","","","","",""
"","","Trincomalee","Kanthale","Heavy Rain","2022.12.25","3","11","","","","","2","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","4","14","0","0","0","0","3","","0","0","0","0","0",""
