"","he forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"10.05.23/1130","9.1/88.6","55-65 gusting to 70","Deep Depression"
"10.05.23/1730","9.7/88.1","60-70 gusting to 75","Cyclonic Storm"
"10.05.23/2330","10.3/87.7","70-80 gusting to 90","Cyclonic Storm"
"11.05.23/0530","11.0/87.6","90-100 gusting to 110","Severe Cyclonic Storm"
"11.05.23/1730","11.9/87.5","105-115 gusting to 125","Severe Cyclonic Storm"
"12.05.23/0530","13.1/87.6","125-135 gusting to 150","Very Severe Cyclonic Storm"
"12.05.23/1730","14.3/88.2","130-140 gusting to 155","Very Severe Cyclonic Storm"
"13.05.23/0530","15.8/89.3","140-150 gusting to 165","Very Severe Cyclonic Storm"
