"","","","","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","අතුරුදහ","tPLfs; Houses","Other Damages","miktplk; Safe Location","",""
"","","","","","","","","තුවාලවු","","Damaged","","","",""
"","","","","","","","","","න්වූ","","","","",""
"","","","","ආරම්භක දිනය","","","","පුද්ගලයි","","","","","",""
"","","","","","","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","","","ආපදාව","mdu;j;jk;","","","","න්","","","","","",""
"පළාත khfhzk;","","","","","","","kuzq;f","fhaki","","","කුඩා හා මධය","","","ලවනත් කරුණු                 NtW"
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","s;","","fhzhk","","ඉතා වැදගත්","ආරක්ිත","",""
"Province","","","","","","","","le;NjhH","","","පරිමාණ වයාපාරික","","","Fwpg;Gf;fs; Remarks"
"","","","Disaster","Date of","","","Deaths","","y;NghNd","","යටිතල පහසුකම්","","",""
"","","","","","","","","","hH","","ස්ත්‍
රථාන சிறிய,","ස්ත්‍
රථාන  
පවුේ","",""
"","","ප්‍රා.ලේ. ලකා","","","","","","Injured","","පූර්ණ 
අර්ධ හානි","වලට වූ හානි","","",""
"","","","","commenced","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","","","","","நடுத்தர,","ස්ත්‍ංඛ්‍යාව 
ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","දිස්ත්‍රික්කය","","","","","","","Missing","හානි 
gFjpas","mbg;gilf; 
நிறுவனங்களின்","","",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","People","","","","vz;zpf;i
FLk;gq;f","egHfs;",""
"","","மாவட்டம் District","","","","","","","People","T 
KOik","fl;likg;Gf;fs;","","",""
"","","","","","Families","People","","","","","சேதங்கள்; Small,","s; 
f   No.","Persons",""
"","","Division","","","","","","","","Partially
Fully","Damages to","","",""
"","","","","","","","","","","","Medium,","Families
of Safety","",""
"","","","","","","","","","","","critical","","",""
"","","","","","","","","","","","Enterprises","Locations","",""
"","","","","","","","","","","","Infrastructure","","",""
"","","","","","","","","","","","Damages","","",""
"","","","Highwind & Cutting","","","","","","","","","","",""
"","","","","2022.11.01","1","5","","","","1","","","",""
"","","","failure","","","","","","","","","","",""
"","","Kuruwita","","","","","","","","","","","",""
"","","","Heavy Rain","2022.11.14","1","3","","","","1","","","",""
"","","","High Wind","","2","5","","","","1","","","",""
