"","ේධතිකේ පුකරෝ ථන මොර්ගය ස  පේධතිකේ තීව්‍රතොවය","",""
"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලං ො පැය)","(උතුරු අක්්ොංශ oN","",""
"","නැකගනහිර කේශොංශ  oE)","",""
"06.06.2023/1730","12.0/65.9","60-70 විටින් විට 80 දක්වා","සුළි කුණාටුවක්"
"07.06.2023/0530","12.7/65.8","70-80 විටින් විට 90 දක්වා","සුළි කුණාටුවක්"
"07.06.2023/1730","13.2/65.7","80-90 විටින් විට 100 දක්වා","සුළි කුණාටුවක්"
"08.06.2023/0530","13.9/65.6","90-100 විටින් විට 110 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"08.06.2023/1730","14.4/65.5","95-105 විටින් විට 115 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"09.06.2023/0530","15.1/65.4","105-115 විටින් විට 125 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"09.06.2023/1730","15.7/65.3","115-125 විටින් විට 140 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
