"දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","of commenced","","පුද්ගලයින්","","Injured","Missing","","","நடுத்தர,","","හානි mbg;gilf;","","ස්ත්‍ංඛ්‍යාව","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","ස්ත්‍ංඛ්‍යාව","","","","","හානි","gFjpas","","","","","","","","",""
"மாவட்டம்  
gpuNjr nra.gp     DS","","","egHfs;","","People","","","","நிறுவனங் களின்","","fl;likg;Gf;fs;","","vz;zpf;if","","FLk;gq;f","egHfs;",""
"","","","","","","People","","T","","","","","","","","",""
"","","FLk;gq;fs;","","","","","KOik","","சேதங் கள்","","","","","","","",""
"District
Division","","","People","","","","","","","","Damages to","","No. of","","s;","Persons",""
"","","Families","","","","","Fully","Partially","Small, Medium,","","","","","","","",""
"","","","","","","","","","","","critical","","Safety","","Families","",""
"","","","","","","","","","Enterprises","","","","","","","",""
"","","","","","","","","","","","Infrastructure","","Locations","","","",""
"","","","","","","","","","Damages","","","","","","","",""
"නුවරඑලිය","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Konkodia GN Wetherset"
"1
Nuwara Eliya
Land slide Risk
Etnuypah","2020.12.21","3","14","","","","","","","","","","","1","","3","14"
"මධයම පලාත","","","","","","","","","","","","","","","","","Hospitle"
"Nuwara Eliya","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk","","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total
  Central","","3","14","0","0","0","0","0","","0","","0","","1","","3","14"
"පළාත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","3","14","0","0","0","0","0","","0","","0","","1","","3","14"
"යාපනය","","","","","","","","","","","","","","","","",""
"2
Chavakachcheri
Bees Attack
aho;g;ghzk;","2021.01.25","5","5","","5","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total
Northen","","5","5","0","5","0","0","0","","0","","0","","0","","0","0"
"පළාත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","5","5","0","5","0","0","0","","0","","0","","0","","0","0"
"ක ාළඹ","","","","","","","","","","","","","","","","",""
"3
Moratuwa
High Wind
nfhOk;G","2021.02.01","32","128","","","","","32","","","","","","","","",""
"Western       Nky;","","","","","","","","","","","","","","","","",""
"Colombo","","","","","","","","","","","","","","","","",""
"khfhzk බස්නාහිර","","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total
පලාත","","32","128","0","0","0","0","32","","0","","0","","0","","0","0"
"පළාත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","32","128","0","0","0","0","32","","0","","0","","0","","0","0"
"හම්බනකතාට","2021.02.01","1","4","","","","","1","","","","","","","","",""
"Thangalla
Fire","","","","","","","","","","","","","","","","",""
"4
`k;ghe;Njhl;il","2021.02.03","1","9","","","","","1","","","","","","","","",""
"දකුනු පලාත    njd;","","","","","","","","","","","","","","","","",""
"Hambantota
Thissamaharamaya
High Wind","2021.02.01","1","3","","","","","1","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total
Southern ;","","3","16","0","0","0","0","3","","0","","0","","0","","0","0"
"පළාත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","3","16","0","0","0","0","3","","0","","0","","0","","0","0"
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","","","",""
"Morawewa","2021.01.29","2","8","","","","","2","","","","","","","","",""
"5
High Wind
jp.kiy","","","","","","","","","","","","","","","","",""
"Gomarankadawala
නැකෙනහිර පලාත","2021.02.01","1","5","","","","","1","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","","","",""
"fpof;F   Eastern
දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","3","13","0","0","0","0","3","","0","","0","","0","","0","0"
"පළාත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","3","13","0","0","0","0","3","","0","","0","","0","","0","0"
"පුත්තලම","","","","","","","","","","","","","","","","",""
"6
Anamaduwa
Fire
Gj;jsk; 
වයඹ පලාත","2021.01.30","1","2","","","","","1","","","","","","","","",""
"tlNky; 
Puttalam","","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","1","2","0","0","0","0","1","","0","","0","","0","","0","0"
"North Western","","","","","","","","","","","","","","","","",""
"පළාත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","1","2","0","0","0","0","1","","0","","0","","0","","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","47","178","0","5","0","0","39","","0","","0","","1","","3","14"
