"","Weather Forecast for Main Cities","","","Date :","28-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","90","50","Mainly fair"
"Batticaloa","34","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","80","65","Several spells of showers"
"Galle","30","27","85","75","Several spells of showers"
"Jaffna","33","27","85","75","Mainly fair"
"Kandy","30","22","90","55","Several spells of showers"
"Nuwara-Eliya","19","14","90","70","Several spells of showers"
"Ratnapura","34","23","90","55","Several spells of showers"
"Trincomalee","35","26","80","40","Mainly fair"
"Mannar","30","27","85","70","Mainly fair"
