"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","30","99","0","0","0","0","10","0","0","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","33","107","0","0","0","0","12","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","325","1214","0","3","0","2","95","4","0","0","0"
"","","","ආපදො කළ නොකරණ  ධයස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","……………………………………………………….","","","","","","","",""
"","","","Gp Captn MPS Marapperuma","","","","","","","",""
"","","","Duty Officer","","","","","","","",""
"","","","For Director General","","","","","","","",""
