"","Weather Forecast for Main Cities","","","Date :","5-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"Batticaloa","35","27","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","90","75","Several spells of showers"
"Galle","30","27","90","80","Several spells of showers"
"Jaffna","34","24","90","70","Mainly fair"
"Kandy","29","23","95","70","Several spells of light showers"
"Nuwara-Eliya","19","15","90","70","Several spells of showers"
"Ratnapura","32","24","95","75","Several spells of showers"
"Trincomalee","36","27","85","50","Mainly fair"
"Mannar","32","28","90","75","Mainly fair"
