"","High Wind","","5","18","","","","","5","","","","","","",""
"","Flood","","241","853","","","","","","","","","","","",""
"Elapatha","","2022.05.13","","","","","","","","","","","","","",""
"","High Wind","","3","14","","","","","3","","","","","","",""
"Ayagama","Flood","2022.05.13/14","19","89","","","","","","","","","","","",""
"","High Wind/ Tree","","","","","","","","","","","","","","",""
"","","2022.05.13","3","12","","","","","3","","","","","","",""
"Kalawana","Fallen","","","","","","","","","","","","","","",""
"","Flood","2022.05.14","19","69","","","","","16","","","","","","",""
"","Flood","","49","199","","","","","49","","","","","","",""
"","High Wind","2022.05.13/14","3","9","","","","","3","","","","","","",""
"Pelmadulla","","","","","","","","","","","","","","","",""
"","Cutting Faliure","","1","4","","","","","1","","","","","","",""
"","Heavy Rain","","30","130","","","","","30","","","","","","",""
"","Flood","","68","264","","","","","","","","","","","",""
"","High Wind","2022.05.13","8","30","","","","","8","","","","","","",""
"Kuruwita","","","","","","","","","","","","","","","",""
"","Lansdlide","","1","3","","","","","1","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","","",""
"","Heavy Rain","","1","4","","","","","1","","","","","","",""
"1
,uj;jpdGhp","","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"Rathnapura","High Wind","","1","4","","","","","1","","","","","","",""
"rg;ufKt 
Kahawatta","","2022.05.14","","","","","","","","","","","","","",""
"Sabaragamuwa","Cutting Faliure","","1","4","","","","","1","","","","","","",""
"","Cutting Faliure","","1","2","","","","","1","","","","","","",""
"Balangoda","","2022.05.13","","","","","","","","","","","","","",""
"","Tree Fallen","","1","4","","","","","1","","","","","","",""
"","Heavy Rain","2022.05.13/14","2","5","","","","","2","","","","","","",""
"Opanayake","","","","","","","","","","","","","","","",""
"","Rock Fallen","2022.05.14","2","6","","","","","2","","","","","","",""
"","Heavy Rain","","1","3","","","","","1","","","","","","",""
"Godakawela","Cutting Faliure","2022.05.14","1","3","","","","","1","","","","","","",""
"","High Wind","","2","9","","","","","2","","","","","","",""
"","Cutting Faliure","","1","4","","","","","1","","","","","","",""
"","","2022.05.14","","","","","","","","","","","","","",""
"Nivithigala","Tree Fallen","","1","3","","","","","1","","","","","","",""
"","Flood","2022.05.13/14","5","17","","","","","5","","","","","","",""
"","High Wind","2022.05.13/15","3","13","","","","","3","","","","","","",""
"Kiriella","","","","","","","","","","","","","","","",""
"","Flood","2022.05.14","27","99","","","","","3","","","","","","",""
"","Lansdlide","","1","5","","1","","","1","","","","","","",""
"Kolonna","","2022.05.14","","","","","","","","","","","","","",""
"","Cutting Faliure","","1","3","","","","","1","","","","","","",""
"Eheliyagoda","High Wind","2022.05.14","2","7","","","","","2","","","","","","",""
"Imbulpe","High Wind","2022.05.15","1","4","","","","","1","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1559","6322","0","1","0","0","155","","0","","0","8","52","209"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1559","6322","0","1","0","0","155","","0","","0","8","52","209"
"Bulathsinhala","","","2","8","","","","","2","","","","","","",""
"Dodangoda","","","3","9","","","","","3","","","","","","",""
"Ingiriya","","","24","102","","","","","6","","","","","","",""
"Walallavita","","","5","22","","","","","5","","","","","","",""
"Beruwala","","","4","16","","","","","4","","","","","","",""
"Mathugama","","","3","11","","","","","3","","","","","","",""
"කළුතර","","","","","","","","","","","","","","","",""
"","High Wind /Heavy","","","","","","","","","","","","","","",""
"2
fSj;Jiw","","2022.05.13/14","","","","","","","","","","","","","",""
"Western Nky;","Rain/ Lightning","","","","","","","","","","","","","","",""
