"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","325","1214","0","3","0","2","95","4","0","0","0"
"","","","ආපදො කළ නොකරණ  ධයස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","",""
"","","","……………………………………………………….","","","","","","","",""
"","","","H.D.G. Priyantha","","","","","","","",""
"","","","Assistant Director/Duty Officer","","","","","","","",""
"","","","For Director General","","","","","","","",""
