"2019.11.30","","","","","","","","","","","",""
"","164","469","3","0","1","0","4","0","0","12","111","293"
"","179","523","4","0","1","1","17","0","0","12","111","293"
"","597","2409","4","0","1","2","21","0","0","15","163","453"
"","","","රොජකොරි භොර නිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
"","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","",""
"","","","හදිසි ඇ තුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","",""
"","","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","",""
"","","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","",""
"","","","මවබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","",""
"","","","……………………………………………………….","","","","","","","","",""
"","","","K.A.D.P.K.Kodippili","","","","","","","","",""
"","","","Deputy Director (Duty Officer)","","","","","","","","",""
"","","","For Director General","","","","","","","","",""
"","","","This is an authorized report by DMC - EOC duty officer. No signature is required","","","","","","","","",""
