"","Katuwana","2021.05.25","4","14","","","","","4","","","","",""
"","හම්බන්ගතාට","","","","","","","","","","","","",""
"12
දකුනු පලාත","High wind
Walasmulla
`k;ghe;Njhl;il","2021.05.24","4","16","","","","","4","","","","",""
"njd;","Hambantota","","","","","","","","","","","","",""
"","Ambalanthota","2021.05.22-25","11","31","","","","","4","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","19","61","0","0","0","0","12","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","19","61","0","0","0","0","12","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","9096","30787","0","3","1","0","213","4","0","13","76","294"
"","","","","","රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
