"","","","","","","","","","","","","4"
"1480","5701","4","10","0","26","657","43","9","3","69","317",""
"","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
"","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :","","","","","","","","","",""
"","","හදිසි ඇමතුම් / njhiyNgrp / Hot Lines:  117, 0112670002, 0112136136","","","","","","","","","",""
"","","ෆැක්ස්ත්‍ර/ njhiy efy; / Fax:                  0112670079","","","","","","","","","",""
"","","විදුත් තැපැල් / kpd;dQ;ry; / Email:        eocdmc@gmail.com","","","","","","","","","",""
"","","්වබ් අඩවිය / ,izak; / Web:             www.dmc.gov.lk","","","","","","","","","",""
"","","……………………………………………………….","","","","","","","","","",""
"","","K.A.D.P.K. Kodippili","","","","","","","","","",""
"","","Deputy   Director   / Duty Officer","","","","","","","","","",""
"","","For Director General","","","","","","","","","",""
