"","","ප්‍රා.ලේ. ලකො                
දිස්ත්‍රික්කය","","","පවුේ සංඛ්‍යාල","පුද්ග඼යින්","","NdhH","","நடுத்த஭,","පුද්ග඼යින් 
සංඛ්‍යාල",""
"","","","","commenced","","","","Injured","හානි 
gFjpa","mbg;gilf;","vz;zpf;i",""
"","","஫ாவட்ட஫்  
gpuNjr nra.gp","","","FLk;gq;fs;","egHfs;","","Missin","","நிறுவனங் கரி","egHfs; 
FLk;gq;",""
"","","","","","","","","","sT 
KOik","fl;likg;Gf;fs; 
ன
்  சேதங் கர்","f   No.",""
"","","District
DS Division","","","Families","People","","g","","","fs; 
Persons",""
"","","","","","","","","People","Partiall
Fully","Damages to","of Safety",""
"","","","","","","","","","","Small, Medium,","",""
"","","","","","","","","People","","","Families",""
"","","","","","","","","","y","critical","Location",""
"","","","","","","","","","","Enterprises","",""
"","","","","","","","","","","Infrastructure
Damages","s",""
"","","Imaduwa","Flood","","120","389","","1","1
23","","",""
"","","Habaraduwa","","","808","3060","","","1
27","1","",""
"","","Akmimana","","","40","150","","","2","","",""
"","","","Flash Flood","","","","","","","","",""
"","","Ambalangoda","","","21","64","","","1
3","1","",""
"","","","","2019.09.22","","","","","","","",""
"","","Yakkalamulla","","","68","216","","","2
14","2","",""
"","","","Lanslide","","2","9","1","1","2","","","Siri Sadaham"
"","","Baddegama","","","","","","","","","1
19
64",""
"","","","Flood","","319","1212","","4","5
8","18","","Viharaya"
"","","Walivita Divithura","Flood","","6","22","","","1
5","","",""
"","","ග෈ල්඼","","","","","","","","","",""
"","1","fhyp        
Bope poddala","","","260","1180","","","3
14","","",""
"","","","Flash Flood","2019.09.23","","","","","","","",""
"","","Galle","","","","","","","","","",""
"","","Gonapinuwala","","","48","172","","","1","","",""
"","","","","","","","","","","","","Milidduwa"
"","","","","","","","","","","","","Sudarmaramaya /"
"","","Kadawath Sathara","Flood","","984","4079","","","","","2
36
105",""
"","","","","","","","","","","","","Piyadigame"
"","","","","2019.09.24","","","","","","","","SudarshanaRamaya"
"","","Hikkaduwa","Flash Flood","","66","283","","","","","",""
"","","Elpitiya","","","186","653","","","1
34","","1
36","105 Amugoda Vidyalaya"
"","","","Flood","","","","","","","","",""
"","","Bentota","","","5","21","","","1
4","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","2933","11510","1","6","0
18
135","22
0","4
91
274",""
"","","Kirinda Puhulwelle","","","7","25","","","7","","",""
"දකුනු ප඼෈ත","","","","","","","","","","","",""
"njd; khfhzk;","","Dikwella","","","11","34","","","11","","",""
"Southern","","Thihagoda","","","96","387","","","5","","",""
"","","Welipitiya","","","2338","7969","","","1
33","","",""
"","","Divinuwara","","","2","9","","","2","","",""
"","","Weligame","","","723","2588","","","1
14","","",""
"","","Hakmana","","","15","56","","","15","","",""
"","","ම෈තර      
Mathara","","","340","1360","","","30","","",""
"","","","Heavy Rain /","","","","","","","","",""
"","2","khj;jiw","","2019.09.22","","","","","","","",""
"","","Athuraliya","High Wind","","60","229","","","7","","",""
"","","Matara","","","","","","","","","",""
"","","Kaburupitiya","","","19","69","","","2
17","","",""
"","","Malimbada","","","33","116","","","1
8","","",""
"","","Pitabeddara","","","8","23","","","8","","",""
"","","Kotapola","","","1","4","","","1","","",""
"","","Mulatiyana","","","10","40","","","10","","",""
"","","Pasgoda","","","5","15","","","","","1
5","15 Batandura Temple"
"","","Akuressa","","","119","524","","","1
24","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","3787","13448","0","0","0
6
192","0
0","1
5
15",""
