"","Ninthavur","","1
4","","","","","1","","","","",""
"","","Wind","","","","","","","","","","",""
"Eastern","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","200
738","0","0","0","7","183","10","0","0
0","0",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","200
738","0","0","0","7","183","10","0","0
0","0",""
"","Puttalam","Heavy Rain & Flood","5989
20542","","","","","1","","","4
198","420",""
"ෙයඹ","Anamaduwa
පුත්තලම/","Fire","1
5","","","","","1","","","","",""
"","2","","2022.05.24","","","","","","","","","",""
"පලාත/tlNky;","Gj;jsk;/Puttalam
Pallama","High wind & Flood","20
82","","","","","","","","","",""
"khfhzk;/ North","Kalpitiya","High wind","46
184","","","","","15","29","","","",""
"Western/","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","6056
20813","0","0","0","0","17","29","0","4
198","420",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","6056
20813","0","0","0","0","17","29","0","4
198","420",""
"","Godakawela","High Wind","4
17","","","","","4","","","","",""
"","Embilipitiya","Elephant Attack","1
1","","","","","1","","","","",""
"","Balangoda","High Wind & Rain","2
7","","","","","2","","","","",""
"","රත්නපුර/","","","","","","","","","","","",""
"","","Lightning","4
9","","","","","4","","","","",""
"","3
Eheliyagoda
,uj;jpdGhp/","","2022.05.24","","","","","","","","","",""
"","","High Wind","5
10","","","","","3","","","","",""
"","Rathnapura","","","","","","","","","","","",""
"","Kalawana","Cutting faliture","2
19","","","","","2","","","","",""
"","Opanayaka","Tree Fallen","1
6","","","","","1","","","","",""
"","Elapatha","Flood","3
17","","","","","1","","","","",""
"සබරෙමුෙ","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","22
86","0","0","0","0","18","0","0","0
0","0",""
"පලාත/rg;ufKt/","","","","","","","","","","","","",""
"","Ruwanvella","Tree Fallen","2
11","","","","","2","","","","",""
"Sabaragamuwa/","","","","","","","","","","","","",""
"","Warakapola","High Wind","3
11","","","","","3","","","","",""
"","Bulathkohupitiya","High Wind","1
4","","","","","1","","","","",""
"","කෑෙල්ල/Nffhiy/K","","","","","","","","","","","",""
"","4
Kegalle","Tree Fallen","2022.05.24
1
3","","","","","1","","","","",""
"","egalle","","","","","","","","","","","",""
"","","Cutting faliture","1
4","","","","","1","","","","",""
"","Deraniyagala","","","","","","","","","","","",""
"","","Fire","1
5","","","","","1","","","","",""
"","Galigamuwa","Tree Fallen","2
7","","","","","1","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","11
45","0","0","0","0","10","0","0","0
0","0",""
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","33
131","0","0","0","0","28","0","0","0
0","0",""
"","කළුතර/fSj;Jiw/","","","","","","","","","","","",""
"Western/  Nky;","Horana","Fire
2022.05.24","1
1","","","","","1","","","","",""
"","Kalutara","","","","","","","","","","","",""
"khfhzk","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","1
1","0","0","0","0","1","0","0","0
0","0",""
