"","Weather Forecast for Main Cities","","","","8-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","95","65","A few showers"
"Batticaloa","33","27","85","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","75","Showers at times"
"Galle","30","26","95","80","Showers at times"
"Jaffna","30","27","95","75","Mainly fair"
"Kandy","29","23","95","70","Several spells of showers"
"Nuwara-Eliya","24","17","95","70","Showers at times"
"Ratnapura","31","24","95","70","Showers at times"
"Trincomalee","34","26","95","70","Mainly fair"
"Mannar","31","28","95","65","Several spells of light showers"
